"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","transistor polarity","Ptot [max]","VCEO [max]","IC [max]","ICM [max]","hFE [min]","hFE [typ]","fT [min]","fT [typ]","RCEsat [typ]","RCEsat [max]","VCEsat [max]"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS304PD","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS304PD.html","http://www.nxp.com/documents/data_sheet/PBSS304PD.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","PNP","2500","-80","-1","-5","155","255","","110","75","100","-540"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS304PX","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS304PX.html","http://www.nxp.com/documents/data_sheet/PBSS304PX.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","PNP","2100","-60","-4.2","-8.4","200","295","","130","48; 78","69; 110","-310"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS304PZ","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS304PZ.html","http://www.nxp.com/documents/data_sheet/PBSS304PZ.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","PNP","2000","-60","-4.5","-9","200","295","","130","53; 82","75; 115","-375"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS305PD","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS305PD.html","http://www.nxp.com/documents/data_sheet/PBSS305PD.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","PNP","2500","-100","-1","-3","175","275","","110","88","125","-395"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS305PX","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS305PX.html","http://www.nxp.com/documents/data_sheet/PBSS305PX.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","PNP","2100","-80","-4","-8","200","280","","100","43; 58; 100","60; 83; 140","-420"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS305PZ","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS305PZ.html","http://www.nxp.com/documents/data_sheet/PBSS305PZ.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","PNP","2000","-80","-4.5","-9","200","280","","100","44; 61; 100","63; 87; 140","-450"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS306PX","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS306PX.html","http://www.nxp.com/documents/data_sheet/PBSS306PX.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","PNP","2100","-100","-3.7","-7.4","200","300","","100","52","75","-300"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS306PZ","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS306PZ.html","http://www.nxp.com/documents/data_sheet/PBSS306PZ.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","PNP","2000","-100","-4.1","-8.2","200","300","","100","56","80","-325"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS3515M","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS3515M.html","http://www.nxp.com/documents/data_sheet/PBSS3515M.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","PNP","430","-15","-0.5","-1","200","","100","280","300","500","-250"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS3515MB","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS3515MB.html","http://www.nxp.com/documents/data_sheet/PBSS3515MB.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","PNP","590","-15","-0.5","-1","200","","100","280","","500","-250"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS3540M","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS3540M.html","http://www.nxp.com/documents/data_sheet/PBSS3540M.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","PNP","430","-40","-0.5","-1","200","","100","300","440","700","-350"
