"brand","Series","PartNo","DetailLink","dataSheet","Package version","fi(RF) [min]","fi(RF) [max]","VCC [typ]","ICC [typ]","synthesizer phase noise density [typ]","@foffset","VCO phase noise density [typ]","@f_offset","f_o(RF) [min]","f_o(RF) [max]","Po(RF) [typ]","RLout [max]","P_i(ref) [min]"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11101HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11101HN.html","http://www.nxp.com/documents/data_sheet/TFF11101HN.pdf","SOT616-1","39","633","3.3","100","-97","100","-130","10","9.92","10.13","-30","","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11105HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11105HN.html","http://www.nxp.com/documents/data_sheet/TFF11105HN.pdf","SOT616-1","40","675","3.3","100","-97","100","-130","10","10.3","10.8","-40","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11110HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11110HN.html","No full datasheet available","SOT616-1","42","706","3.3","100","-97","100","-130","10","10.8","11.3","-50","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11115HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11115HN.html","http://www.nxp.com/documents/data_sheet/TFF11115HN.pdf","SOT616-1","44","738","3.3","100","-97","100","-130","10","11.3","11.8","-40","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11121HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11121HN.html","No full datasheet available","SOT616-1","46","775","3.3","100","-97","100","-130","10","11.8","12.4","-50","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11126HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11126HN.html","No full datasheet available","SOT616-1","48","806","3.3","100","-97","100","-130","10","12.4","12.9","-50","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11139HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11139HN.html","http://www.nxp.com/documents/data_sheet/TFF11139HN.pdf","SOT616-1","54","881","3.3","100","-97","100","-130","10","13.8","14.1","-40","","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11142HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11142HN.html","http://www.nxp.com/documents/data_sheet/TFF11142HN.pdf","SOT616-1","55","901","3.3","100","-97","100","-130","10","14.13","14.42","","","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11145HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11145HN.html","http://www.nxp.com/documents/data_sheet/TFF11145HN.pdf","SOT616-1","57","925","3.3","100","-97","100","-130","10","14.5","14.8","","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11152HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11152HN.html","http://www.nxp.com/documents/data_sheet/TFF11152HN.pdf","SOT616-1","58","969","3.3","100","-97","100","-130","10","14.8","15.5","-70","-10","-100"
