"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","hFE min","Ptot [max]","fT min","Polarity","IC max","VCEO max","Ptot max","Complement","Complement","IC [max]","Polarity","Ptot [max]","VCEO [max]","fT [min]","hFE [max]","hFE [min]","hFE [min]","hFE [max]","fT [min]","Polarity","Complement","IC [max]","VCEO [max]","hFE max"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC817-40QA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC817-40QA.html","http://www.nxp.com/documents/data_sheet/BC817-25QA_40QA.pdf","SOT1215","DFN1010D-3","1.1 x 1.0 x 0.37","","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC817-40W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC817-40W.html","http://www.nxp.com/documents/data_sheet/BC817_BC817W_BC337.pdf","SOT323","SC-70","2 x 1.25 x 0.95","250","","100","NPN","500","45","200","BC807-40W","","","","","","","","","","","","","","","","600"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC817W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC817W.html","http://www.nxp.com/documents/data_sheet/BC817_BC817W_BC337.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","","100","NPN","500","45","200","BC807W","","","","","","","","","","","","","","","","600"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC846","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC846.html","http://www.nxp.com/documents/data_sheet/BC846_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","BC856","100","NPN","250","65","100","450","110","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC846A","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC846A.html","http://www.nxp.com/documents/data_sheet/BC846_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","BC856A","100","NPN","250","65","100","220","110","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC846AW","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC846AW.html","http://www.nxp.com/documents/data_sheet/BC846_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","BC856AW","100","NPN","200","65","100","220","110","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC846B","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC846B.html","http://www.nxp.com/documents/data_sheet/BC846_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","BC856B","100","NPN","250","65","100","450","200","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC846BW","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC846BW.html","http://www.nxp.com/documents/data_sheet/BC846_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","BC856BW","100","NPN","200","65","100","450","200","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC846W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC846W.html","http://www.nxp.com/documents/data_sheet/BC846_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","BC856W","100","NPN","200","65","100","450","110","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC846BM","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC846BM.html","http://www.nxp.com/documents/data_sheet/BC846BM.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","","","","","","","","","BC856B","100","NPN","250","65","100","450","200","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC846BMB","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC846BMB.html","http://www.nxp.com/documents/data_sheet/BC846BMB.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","","","","","","","","","BC856B","100","NPN","250","65","100","450","200","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847.html","http://www.nxp.com/documents/data_sheet/BC847_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","BC857","100","NPN","250","45","100","800","110","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847A","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847A.html","http://www.nxp.com/documents/data_sheet/BC847_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","BC857A","100","NPN","250","45","100","220","110","","","","","","","",""
