"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","VR [max]","IF [max]","IFSM [max]","Configuration","VF [max]","Cd [max]","IR [max]","IR [max]"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54CV","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54CV.html","http://www.nxp.com/documents/data_sheet/BAT54CV.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","30","200","0.6","quad c.c./c.c.","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54H","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54H.html","http://www.nxp.com/documents/data_sheet/BAT54H.pdf","SOD123F","SOD123F","2.6 x 1.6 x 1.1","30","200","0.6","single","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54J","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54J.html","http://www.nxp.com/documents/data_sheet/BAT54J.pdf","SOD323F","SOD323F","1.7 x 1.25 x 0.7","30","200","0.6","single","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54L","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54L.html","http://www.nxp.com/documents/data_sheet/BAT54L.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","30","200","0.6","single","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54VV","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54VV.html","http://www.nxp.com/documents/data_sheet/BAT54VV.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","30","200","0.6","triple isolated","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54AW","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54AW.html","http://www.nxp.com/documents/data_sheet/BAT54W_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","30","200","0.6","dual c.a.","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54CW","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54CW.html","http://www.nxp.com/documents/data_sheet/BAT54W_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","30","200","0.6","dual c.c.","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54SW","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54SW.html","http://www.nxp.com/documents/data_sheet/BAT54W_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","30","200","0.6","dual series","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54W","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54W.html","http://www.nxp.com/documents/data_sheet/BAT54W_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","30","200","0.6","single","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54XY","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54XY.html","http://www.nxp.com/documents/data_sheet/BAT54XY.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","30","200","0.6","quad 2x series","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT74","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT74.html","http://www.nxp.com/documents/data_sheet/BAT74.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1","30","200","0.6","dual isolated","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT74S","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT74S.html","http://www.nxp.com/documents/data_sheet/BAT74S.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","30","200","0.6","dual isolated","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT74V","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT74V.html","http://www.nxp.com/documents/data_sheet/BAT74V.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","30","200","0.6","dual isolated","400@IF=10mA","10@VR=1V","","2@VR=25V"
