"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","Complement","IC [max]","Polarity","Ptot [max]","VCEO [max]","fT [min]","hFE [max]","hFE [min]","hFE [min]","hFE [max]","fT [min]","Polarity","Complement","IC [max]","VCEO [max]","Ptot [max]"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857C","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857C.html","http://www.nxp.com/documents/data_sheet/BC856_BC857_BC858.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BC847C","100","PNP","250","45","100","800","420","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC858B","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC858B.html","http://www.nxp.com/documents/data_sheet/BC856_BC857_BC858.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BC848B","100","PNP","250","30","100","475","220","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC856BM","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC856BM.html","http://www.nxp.com/documents/data_sheet/BC856BM.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC856BMB","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC856BMB.html","http://www.nxp.com/documents/data_sheet/BC856BMB.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC856AW","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC856AW.html","http://www.nxp.com/documents/data_sheet/BC856W_BC857W_BC858W.pdf","SOT323","SC-70","2 x 1.25 x 0.95","BC846AW","100","PNP","200","65","100","250","125","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC856BW","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC856BW.html","http://www.nxp.com/documents/data_sheet/BC856W_BC857W_BC858W.pdf","SOT323","SC-70","2 x 1.25 x 0.95","BC846BW","100","PNP","200","65","100","475","220","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC856W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC856W.html","http://www.nxp.com/documents/data_sheet/BC856W_BC857W_BC858W.pdf","SOT323","SC-70","2 x 1.25 x 0.95","BC846W","100","PNP","200","65","100","475","125","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857AW","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857AW.html","http://www.nxp.com/documents/data_sheet/BC856W_BC857W_BC858W.pdf","SOT323","SC-70","2 x 1.25 x 0.95","BC847AW","100","PNP","200","45","100","250","125","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857BW","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857BW.html","http://www.nxp.com/documents/data_sheet/BC856W_BC857W_BC858W.pdf","SOT323","SC-70","2 x 1.25 x 0.95","BC847BW","100","PNP","200","45","100","475","220","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857CW","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857CW.html","http://www.nxp.com/documents/data_sheet/BC856W_BC857W_BC858W.pdf","SOT323","SC-70","2 x 1.25 x 0.95","BC847CW","100","PNP","200","45","100","800","420","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857W.html","http://www.nxp.com/documents/data_sheet/BC856W_BC857W_BC858W.pdf","SOT323","SC-70","2 x 1.25 x 0.95","BC847W","100","PNP","200","45","100","800","125","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC858W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC858W.html","http://www.nxp.com/documents/data_sheet/BC856W_BC857W_BC858W.pdf","SOT323","SC-70","2 x 1.25 x 0.95","BC848W","100","PNP","200","30","100","800","125","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857AM","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857AM.html","http://www.nxp.com/documents/data_sheet/BC857M_SERIES.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","BC847A","100","PNP","250","45","100","250","125","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857BM","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857BM.html","http://www.nxp.com/documents/data_sheet/BC857M_SERIES.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","BC847B","100","PNP","250","45","100","475","220","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857CM","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857CM.html","http://www.nxp.com/documents/data_sheet/BC857M_SERIES.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","BC847C","100","PNP","250","45","100","800","420","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857AMB","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857AMB.html","http://www.nxp.com/documents/data_sheet/BC857XMB_SER.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","BC847A","100","PNP","250","45","100","250","125","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857BMB","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857BMB.html","http://www.nxp.com/documents/data_sheet/BC857XMB_SER.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","BC847B","100","PNP","250","45","100","475","220","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857CMB","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857CMB.html","http://www.nxp.com/documents/data_sheet/BC857XMB_SER.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","BC847C","100","PNP","250","45","100","800","420","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857AQA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857AQA.html","http://www.nxp.com/documents/data_sheet/BC857XQA_SER.pdf","SOT1215","DFN1010D-3","1.1 x 1.0 x 0.37","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857BQA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857BQA.html","http://www.nxp.com/documents/data_sheet/BC857XQA_SER.pdf","SOT1215","DFN1010D-3","1.1 x 1.0 x 0.37","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857CQA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857CQA.html","http://www.nxp.com/documents/data_sheet/BC857XQA_SER.pdf","SOT1215","DFN1010D-3","1.1 x 1.0 x 0.37","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BCW29","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BCW29.html","http://www.nxp.com/documents/data_sheet/BCW29_BCW30.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BCW31","100","PNP","250","32","100","260","120","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BCW30","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BCW30.html","http://www.nxp.com/documents/data_sheet/BCW29_BCW30.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BCW32","100","PNP","250","32","100","500","215","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BCW61B","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BCW61B.html","http://www.nxp.com/documents/data_sheet/BCW61.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BCW60B","100","PNP","250","32","100","310","180","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BCW61C","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BCW61C.html","http://www.nxp.com/documents/data_sheet/BCW61.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BCW60C","100","PNP","250","32","100","460","250","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BCW61D","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BCW61D.html","http://www.nxp.com/documents/data_sheet/BCW61.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BCW60D","100","PNP","250","32","100","630","380","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BCW69","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BCW69.html","http://www.nxp.com/documents/data_sheet/BCW69_BCW70.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BCW71","100","PNP","250","45","100","260","120","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BCW70","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BCW70.html","http://www.nxp.com/documents/data_sheet/BCW69_BCW70.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BCW72","100","PNP","250","45","100","500","215","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BCW89","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BCW89.html","http://www.nxp.com/documents/data_sheet/BCW89.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","100","PNP","250","60","100","260","120","","","","","","","",""
