"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","transistor polarity","Ptot [max]","VCEO [max]","IC [max]","VCEsat [max]","VCEsat [max] (trans 2)","RCEsat@IC [max]; IC/IB =10 [typ]","hFE [min]","fT [typ]"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS2022D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS2022D.html","http://www.nxp.com/documents/data_sheet/PBLS2022D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-70","80","30","130"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS2023D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS2023D.html","http://www.nxp.com/documents/data_sheet/PBLS2023D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-70","80","30","130"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS2024D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS2024D.html","http://www.nxp.com/documents/data_sheet/PBLS2024D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-70","80","60","130"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS4001D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS4001D.html","http://www.nxp.com/documents/data_sheet/PBLS4001D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-310","240","30","150"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS4001Y","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS4001Y.html","http://www.nxp.com/documents/data_sheet/PBLS4001Y_PBLS4001V.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","NPN/PNP","300","50","","-150","-350","440","30","100"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS4002D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS4002D.html","http://www.nxp.com/documents/data_sheet/PBLS4002D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-310","240","30","150"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS4002Y","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS4002Y.html","http://www.nxp.com/documents/data_sheet/PBLS4002Y_PBLS4002V.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","NPN/PNP","300","50","","-150","-350","440","30","100"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS4003D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS4003D.html","http://www.nxp.com/documents/data_sheet/PBLS4003D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-310","240","30","150"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS4003Y","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS4003Y.html","http://www.nxp.com/documents/data_sheet/PBLS4003Y_PBLS4003V.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","NPN/PNP","300","50","","-150","-350","440","30","100"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS4004D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS4004D.html","http://www.nxp.com/documents/data_sheet/PBLS4004D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-310","240","60","150"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS4004Y","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS4004Y.html","http://www.nxp.com/documents/data_sheet/PBLS4004Y_PBLS4004V.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","NPN/PNP","300","50","","-150","-350","440","60","100"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS4005D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS4005D.html","http://www.nxp.com/documents/data_sheet/PBLS4005D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-310","240","80","150"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS4005Y","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS4005Y.html","http://www.nxp.com/documents/data_sheet/PBLS4005Y_PBLS4005V.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","NPN/PNP","300","50","","-150","-350","440","80","100"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS6001D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS6001D.html","http://www.nxp.com/documents/data_sheet/PBLS6001D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-340","255","30","150"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS6002D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS6002D.html","http://www.nxp.com/documents/data_sheet/PBLS6002D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-340","255","30","150"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS6003D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS6003D.html","http://www.nxp.com/documents/data_sheet/PBLS6003D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-340","255","30","150"
