"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","generation","fT [typ]","VCEO [max]","IC [max]","Ptot [max]","Polarity","GUM [typ]","@f","@IC","@VCE","GUM [typ]","@f","@IC","@VCE","NF","@f","@IC","@VCE","NF","@f","@IC","@VCE"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU530W","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU530W.html","http://www.nxp.com/documents/data_sheet/BFU530W.pdf","SOT323","SC-70","5th","11","12","40","450","NPN","","","","","","","","","0.6","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU530X","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU530X.html","http://www.nxp.com/documents/data_sheet/BFU530X.pdf","SOT143B","SOT143B","5th","11","12","40","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU530XR","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU530XR.html","http://www.nxp.com/documents/data_sheet/BFU530XR.pdf","SOT143R","SOT143R","5th","11","12","40","450","NPN","","","","","","","","","0.65","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU610F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU610F.html","http://www.nxp.com/documents/data_sheet/BFU610F.pdf","SOT343F","DFP4","6th","15","5.5","10","136","NPN","","","","","","","","","1.1","2.4","2","2","1.7","5.8","2","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU630F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU630F.html","http://www.nxp.com/documents/data_sheet/BFU630F.pdf","SOT343F","DFP4","6th","21","5.5","30","200","NPN","","","","","","","","","0.85","2.4","3","2","1.3","5.8","3","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU660F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU660F.html","http://www.nxp.com/documents/data_sheet/BFU660F.pdf","SOT343F","DFP4","6th","21","5.5","60","225","NPN","","","","","","","","","0.6","1.5","6","2","1.2","5.8","6","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU690F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU690F.html","http://www.nxp.com/documents/data_sheet/BFU690F.pdf","SOT343F","DFP4","6th","18","5.5","100","490","NPN","","","","","","","","","0.6","1.5","15","2","0.7","2.4","15","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU710F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU710F.html","http://www.nxp.com/documents/data_sheet/BFU710F.pdf","SOT343F","DFP4","7th","43","2.8","10","136","NPN","","","","","","","","","0.85","5.8","2","2","1.45","12","2","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU725F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU725F.html","http://www.nxp.com/documents/data_sheet/BFU725F_N1.pdf","SOT343F","DFP4","7th","55","2.8","40","136","NPN","","","","","","","","","0.7","5.8","5","2","1.1","12","5","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU730F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU730F.html","http://www.nxp.com/documents/data_sheet/BFU730F.pdf","SOT343F","DFP4","7th","55","2.8","30","197","NPN","","","","","","","","","0.8","5.8","5","2","1.3","12","5","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU760F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU760F.html","http://www.nxp.com/documents/data_sheet/BFU760F.pdf","SOT343F","DFP4","7th","45","2.8","70","220","NPN","","","","","","","","","0.4","1.5","12","2","0.5","2.4","12","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU910F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU910F.html","http://www.nxp.com/documents/data_sheet/BFU910F.pdf","SOT343F","DFP4","generation","90","3","15","300","NPN","","","","","","","","","0.65","12","6","2","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","ON5088","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/ON5088.html","http://www.nxp.com/documents/data_sheet/ON5088.pdf","SOT343F","DFP4","7th","55","3","40","136","NPN","","","","","","","","","1.1","12","5","2","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","PBR941","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/PBR941.html","http://www.nxp.com/documents/data_sheet/PBR941.pdf","SOT23","TO-236AB","4th","8","10","50","360","NPN","15","1000","15","6","9.5","2000","15","6","1.4","1000","5","6","2","2000","5","6"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","PBR941B","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/PBR941B.html","http://www.nxp.com/documents/data_sheet/PBR941B_N.pdf","SOT23","TO-236AB","4th","9","10","50","360","NPN","16","1000","15","6","10","2000","15","6","1.5","1000","5","6","2.1","2000","5","6"
