"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","Channel type","Number of transistors","VDS [max]","RDSon [max] @ VGS = 10 V","RDSon [max] @ VGS = 5 V","RDSon [max] @ VGS = 4.5 V","RDSon [max] @ VGS = 2.5 V","RDSon [typ] @ VGS = 10 V","RDSon [typ] @ VGS = 5 V","RDSon [typ] @ VGS = 4.5 V","RDSon [typ] @ VGS = 2.5 V","RDSon [max] @ Tj = 175 °C","ID [max]","ID [max] @ T = 100 °C","IDM [max]","QGD [typ]","QG(tot) [typ]","Ptot [max]","Qr [typ]","VGSth [typ]","Automotive qualified","Ciss [typ]","Coss [typ]","Rth(j-mb) [max]","Date"
"nxp","MOSFETs---Automotive MOSFETs","PMN27XPEA","http://www.nxp.com/products/mosfets/automotive_mosfets/PMN27XPEA.html","http://www.nxp.com/documents/data_sheet/PMN27XPEA.pdf","SOT457","TSOP6","Production","P","1","-20","","","30","44","","","27","39","","-5.7","-3.5","-22","3","15","0.53","","-1","Y","1770","254","","2014-06-20"
"nxp","MOSFETs---Automotive MOSFETs","PMN40UPEA","http://www.nxp.com/products/mosfets/automotive_mosfets/PMN40UPEA.html","http://www.nxp.com/documents/data_sheet/PMN40UPEA.pdf","SOT457","TSOP6","Production","P","1","-20","","","43","55","","","37","45","","-6","-3.5","-16","2.8","15.6","0.5","","-0.7","Y","1820","207","","2014-06-20"
"nxp","MOSFETs---Automotive MOSFETs","PMN70XPEA","http://www.nxp.com/products/mosfets/automotive_mosfets/PMN70XPEA.html","http://www.nxp.com/documents/data_sheet/PMN70XPEA.pdf","SOT457","TSOP6","Production","P","1","-20","","","85","129","","","70","101","","-4.1","-2","-12.8","1.3","5.2","0.5","","-1","Y","602","101","","2014-06-20"
"nxp","MOSFETs---Automotive MOSFETs","BUK9K12-60E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK9K12-60E.html","http://www.nxp.com/documents/data_sheet/BUK9K12-60E.pdf","SOT1205","LFPAK56D","Production","N","2","60","10.7","11.5","","","8.5","9.5","","","26","35","35","204","8.27","24.5","68","18.1","1.7","Y","2602","237","2.21","2014-05-06"
"nxp","MOSFETs---Automotive MOSFETs","PMN42XPEA","http://www.nxp.com/products/mosfets/automotive_mosfets/PMN42XPEA.html","http://www.nxp.com/documents/data_sheet/PMN42XPEA.pdf","SOT457","TSOP6","Production","P","1","-20","","","46","64","","","41","56","","-5.7","-2.9","-16","2.4","11.5","0.5","","-1","Y","1410","207","","2014-03-25"
"nxp","MOSFETs---Automotive MOSFETs","PMV48XPA","http://www.nxp.com/products/mosfets/automotive_mosfets/PMV48XPA.html","http://www.nxp.com/documents/data_sheet/PMV48XPA.pdf","SOT23","TO-236AB","Production","P","1","-20","","","55","81","","","48","71","","-3.5","-2.2","-14","1.8","8.5","0.51","","-1","Y","1000","130","","2014-03-05"
"nxp","MOSFETs---Automotive MOSFETs","BUK7K12-60E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK7K12-60E.html","http://www.nxp.com/documents/data_sheet/BUK7K12-60E.pdf","SOT1205","LFPAK56D","Production","N","2","60","9.3","","","","7.64","","","","20.8","","40","228","11","34.2","68","24","3","Y","1761","247","2.21","2013-12-11"
"nxp","MOSFETs---Automotive MOSFETs","BUK7K17-60E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK7K17-60E.html","http://www.nxp.com/documents/data_sheet/BUK7K17-60E.pdf","SOT1205","LFPAK56D","Production","N","2","60","14","","","","11.3","","","","31.4","30","29","164","8.1","23.6","53","24.6","3","Y","1183","167","2.84","2013-12-11"
"nxp","MOSFETs---Automotive MOSFETs","BUK7K18-40E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK7K18-40E.html","http://www.nxp.com/documents/data_sheet/BUK7K18-40E.pdf","SOT1205","LFPAK56D","Production","N","2","40","19","","","","15.5","","","","37.4","24.2","22","127","4.3","11.8","38","9.1","3","Y","606","134","3.96","2013-12-11"
"nxp","MOSFETs---Automotive MOSFETs","BUK7K52-60E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK7K52-60E.html","http://www.nxp.com/documents/data_sheet/BUK7K52-60E.pdf","SOT1205","LFPAK56D","Production","N","2","60","45","","","","35","","","","101","15.4","12.6","71","3.5","9.2","32","12.3","3","Y","401","73","4.68","2013-12-11"
"nxp","MOSFETs---Automotive MOSFETs","BUK7K6R2-40E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK7K6R2-40E.html","http://www.nxp.com/documents/data_sheet/BUK7K6R2-40E.pdf","SOT1205","LFPAK56D","Production","N","2","40","5.8","","","","4.8","","","","11.4","40","40","308","10.5","32.3","68","18","3","Y","1657","354","2.21","2013-12-11"
"nxp","MOSFETs---Automotive MOSFETs","BUK7K8R7-40E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK7K8R7-40E.html","http://www.nxp.com/documents/data_sheet/BUK7K8R7-40E.pdf","SOT1205","LFPAK56D","Production","N","2","40","8.5","","","","7","","","","16.7","","30","225","7.8","21.8","53","11.7","3","Y","1079","235","2.84","2013-12-11"
"nxp","MOSFETs---Automotive MOSFETs","BUK9K134-100E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK9K134-100E.html","http://www.nxp.com/documents/data_sheet/BUK9K134-100E.pdf","SOT1205","LFPAK56D","Production","N","2","100","154","159","","","122","127","","","439","8.5","6","34","3.6","7.4","32","39.9","1.7","Y","566","55","4.68","2013-12-11"
"nxp","MOSFETs---Automotive MOSFETs","BUK9K17-60E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK9K17-60E.html","http://www.nxp.com/documents/data_sheet/BUK9K17-60E.pdf","SOT1205","LFPAK56D","Production","N","2","60","15.6","17","","","12.4","14","","","38.4","26","26","148","5.7","16.5","53","16.7","1.7","Y","1667","160","2.84","2013-12-11"
"nxp","MOSFETs---Automotive MOSFETs","BUK9K25-40E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK9K25-40E.html","http://www.nxp.com/documents/data_sheet/BUK9K25-40E.pdf","SOT1205","LFPAK56D","Production","N","2","40","24","29","","","19","24","","","58","18.2","16.6","94","2.4","6.3","32","7.6","1.7","Y","528","95","4.68","2013-12-11"
