"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","PPPM @10/1000 µs [max] (W)","Configuration","No of protected lines","VRWM (V)","VBR [min] (V)","VBR [typ] (V)","VBR [max] (V)","IRM [max] (µA)","Vcl @ IPPM 10/1000 µs [max] (V)","IPPM @10/1000 µs [max] (W)","VESD IEC61000-4-2 (kV)","Tj [max]"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS20VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS20VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","20","22.2","23,35","24.5","0.1","32.4","12.3","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS22VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS22VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","22","24.4","25.6","26.9","0.1","35.5","11.3","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS24VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS24VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","24","26.7","28.1","29.5","0.1","38.9","10.3","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS26VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS26VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","26","28.9","30.4","31.9","0.1","42.1","9.5","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS28VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS28VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","28","31.1","32.8","34.4","0.1","45.4","8.8","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS30VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS30VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","30","33.3","35.1","36.8","0.1","48.4","8.3","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS33VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS33VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","33","36.7","38.7","40.6","0.1","53.3","7.5","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS36VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS36VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","36","40","42.1","44.2","0.1","58.1","6.9","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS40VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS40VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","40","44.4","46.8","49.1","0.1","64.5","6.2","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS43VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS43VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","43","47.8","50.3","52.8","0.1","69.4","5.8","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS45VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS45VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","45","50","52.65","55.3","0.1","72.7","5.5","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS48VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS48VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","48","53.3","56.1","58.9","0.1","77.4","5.2","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS51VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS51VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","51","56.7","59.7","62.7","0.1","82.4","4.9","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS54VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS54VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","54","60","63.15","66.3","0.1","87.1","4.6","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS58VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS58VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","58","64.4","67.8","71.2","0.1","93.6","4.3","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS60VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS60VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","60","66.7","70.2","73.7","0.1","96.8","4.1","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS64VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS64VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","64","71.1","74.85","78.6","0.1","103","3.9","30","185"
