"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","No of protected lines","Configuration","Cd [typ] (pF)","Cd [max] (pF)","VRWM (V)","VESD IEC61000-4-2 (kV)","IRM [max] (µA)"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0V1BL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0V1BL.html","http://www.nxp.com/documents/data_sheet/PESD5V0V1BA_BB_BL.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Bidirectional","11","13","5","30","0.01"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0V1BLD","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0V1BLD.html","http://www.nxp.com/documents/data_sheet/PESD5V0V1BLD.pdf","SOD882D","DFN1006D-2","0.6 x 1 x 0.4","1","Bidirectional","11","13","5","30","0.01"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0V2BM","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0V2BM.html","http://www.nxp.com/documents/data_sheet/PESD5V0V2BM.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","","Bidirectional","18","","","30",""
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0V2BMB","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0V2BMB.html","http://www.nxp.com/documents/data_sheet/PESD5V0V2BMB.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","","Bidirectional","18","","","30",""
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD36VS1UJ","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD36VS1UJ.html","http://www.nxp.com/documents/data_sheet/PESD36VS1UJ.pdf","SOD323F","SOD323F","1.7 x 1.25 x 0.7","","","","","","",""
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD3V3L1BA","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD3V3L1BA.html","http://www.nxp.com/documents/data_sheet/PESDXL1BA_SER.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","1","Bidirectional","101","","3.3","30","2"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0L1BA","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0L1BA.html","http://www.nxp.com/documents/data_sheet/PESDXL1BA_SER.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","1","Bidirectional","75","","5","30","1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD12VL1BA","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD12VL1BA.html","http://www.nxp.com/documents/data_sheet/PESDXL1BA_SER.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","1","Bidirectional","19","","12","30","0.05"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD15VL1BA","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD15VL1BA.html","http://www.nxp.com/documents/data_sheet/PESDXL1BA_SER.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","1","Bidirectional","16","","15","30","0.05"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD24VL1BA","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD24VL1BA.html","http://www.nxp.com/documents/data_sheet/PESDXL1BA_SER.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","1","Bidirectional","11","","24","23","0.05"
