"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","Configuration","VCC","Logic switching levels","RON","RON(FLAT)","f(-3dB)","THD","Xtalk","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Analog switches","74HC4052DB","http://www.nxp.com/products/logic/analog_switches/74HC4052DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4052.pdf","Production","HC(T)","dual single-pole, quad-throw analog switch","SP4T-Z","2.0 - 10.0","CMOS","200","20","180","0.02","-60","very low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Analog switches","74HC4052PW","http://www.nxp.com/products/logic/analog_switches/74HC4052PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4052.pdf","Production","HC(T)","dual single-pole, quad-throw analog switch","SP4T-Z","2.0 - 10.0","CMOS","200","20","180","0.02","-60","very low","-40~125","119","3.15359281437126","47.7790419161677","16","TSSOP16","SOT403-1"
"nxp","Logic---Analog switches","74HCT4052BQ","http://www.nxp.com/products/logic/analog_switches/74HCT4052BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4052.pdf","Production","HC(T)","dual single-pole, quad-throw analog switch; TTL enabled","SP4T-Z","4.5 - 5.5","TTL","225","20","170","0.04","-60","very low","-40~125","87","9.5","55","16","DHVQFN16","SOT763-1"
"nxp","Logic---Analog switches","74HCT4052D","http://www.nxp.com/products/logic/analog_switches/74HCT4052D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4052.pdf","Production","HC(T)","dual single-pole, quad-throw analog switch; TTL enabled","SP4T-Z","4.5 - 5.5","TTL","225","20","170","0.04","-60","very low","-40~125","86","6.83717664670659","45.0173008982036","16","SO16","SOT109-1"
"nxp","Logic---Analog switches","74HCT4052DB","http://www.nxp.com/products/logic/analog_switches/74HCT4052DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4052.pdf","Production","HC(T)","dual single-pole, quad-throw analog switch; TTL enabled","SP4T-Z","4.5 - 5.5","TTL","225","20","170","0.04","-60","very low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Analog switches","74HCT4052PW","http://www.nxp.com/products/logic/analog_switches/74HCT4052PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4052.pdf","Production","HC(T)","dual single-pole, quad-throw analog switch; TTL enabled","SP4T-Z","4.5 - 5.5","TTL","225","20","170","0.04","-60","very low","-40~125","119","3.15359281437126","47.7790419161677","16","TSSOP16","SOT403-1"
"nxp","Logic---Analog switches","74HC4053BQ","http://www.nxp.com/products/logic/analog_switches/74HC4053BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4053.pdf","Production","HC(T)","triple single-pole, double-throw analog switch","SPDT-Z","2.0 - 10.0","CMOS","200","20","170","0.02","","very low","-40~125","89","10.8","57","16","DHVQFN16","SOT763-1"
"nxp","Logic---Analog switches","74HC4053D","http://www.nxp.com/products/logic/analog_switches/74HC4053D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4053.pdf","Production","HC(T)","triple single-pole, double-throw analog switch","SPDT-Z","2.0 - 10.0","CMOS","200","20","170","0.02","","very low","-40~125","89","8.1","48","16","SO16","SOT109-1"
"nxp","Logic---Analog switches","74HC4053DB","http://www.nxp.com/products/logic/analog_switches/74HC4053DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4053.pdf","Production","HC(T)","triple single-pole, double-throw analog switch","SPDT-Z","2.0 - 10.0","CMOS","200","20","170","0.02","","very low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Analog switches","74HC4053PW","http://www.nxp.com/products/logic/analog_switches/74HC4053PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4053.pdf","Production","HC(T)","triple single-pole, double-throw analog switch","SPDT-Z","2.0 - 10.0","CMOS","200","20","170","0.02","","very low","-40~125","121","3.58446107784431","49.8781437125748","16","TSSOP16","SOT403-1"
