"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---AND gates","74AUP1G08GN","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G08GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G08.pdf","Production","AUP","AND gates","single 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","1","ultra low","-40~125","334","22.6","207","6","XSON6","SOT1115"
"nxp","Logic---Gates---AND gates","74AUP1G08GS","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G08GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G08.pdf","Production","AUP","AND gates","single 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","1","ultra low","-40~125","321","28.7","215","6","XSON6","SOT1202"
"nxp","Logic---Gates---AND gates","74AUP1G08GW","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G08GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G08.pdf","Production","AUP","AND gates","single 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","1","ultra low","-40~125","309","79.2","179","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---AND gates","74AUP1G08GX","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G08GX.html","http://www.nxp.com/documents/data_sheet/74AUP1G08.pdf","Production","AUP","AND gates","single 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","1","ultra low","-40~125","322","90.7","191","5","X2SON5","SOT1226"
"nxp","Logic---Gates---AND gates","74AUP1G09GF","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G09GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G09.pdf","Production","AUP","AND gates","open-drain; single 2-input AND gate","1.1 - 3.6","CMOS","1.9","8.5","70","1","ultra low","-40~125","311","7.7","157","6","XSON6","SOT891"
"nxp","Logic---Gates---AND gates","74AUP1G09GM","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G09GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G09.pdf","Production","AUP","AND gates","open-drain; single 2-input AND gate","1.1 - 3.6","CMOS","1.9","8.5","70","1","ultra low","-40~125","311","7.7","157","6","XSON6","SOT886"
"nxp","Logic---Gates---AND gates","74AUP1G09GN","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G09GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G09.pdf","Production","AUP","AND gates","open-drain; single 2-input AND gate","1.1 - 3.6","CMOS","1.9","8.5","70","1","ultra low","-40~125","334","22.6","207","6","XSON6","SOT1115"
"nxp","Logic---Gates---AND gates","74AUP1G09GS","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G09GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G09.pdf","Production","AUP","AND gates","open-drain; single 2-input AND gate","1.1 - 3.6","CMOS","1.9","8.5","70","1","ultra low","-40~125","321","28.7","215","6","XSON6","SOT1202"
"nxp","Logic---Gates---AND gates","74AUP1G09GW","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G09GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G09.pdf","Production","AUP","AND gates","open-drain; single 2-input AND gate","1.1 - 3.6","CMOS","1.9","8.5","70","1","ultra low","-40~125","309","79.2","179","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---AND gates","74AUP1G09GX","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G09GX.html","http://www.nxp.com/documents/data_sheet/74AUP1G09.pdf","Production","AUP","AND gates","open-drain; single 2-input AND gate","1.1 - 3.6","CMOS","1.9","8.5","70","1","ultra low","-40~125","322","90.7","191","5","X2SON5","SOT1226"
"nxp","Logic---Gates---AND gates","74AUP1G11GF","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G11GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G11.pdf","Production","AUP","AND gates","single 3-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","6.9","70","1","ultra low","-40~125","290","6.5","145","6","XSON6","SOT891"
"nxp","Logic---Gates---AND gates","74AUP1G11GM","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G11GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G11.pdf","Production","AUP","AND gates","single 3-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","6.9","70","1","ultra low","-40~125","290","6.5","145","6","XSON6","SOT886"
"nxp","Logic---Gates---AND gates","74AUP1G11GN","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G11GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G11.pdf","Production","AUP","AND gates","single 3-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","6.9","70","1","ultra low","-40~125","275","11.7","171","6","XSON6","SOT1115"
"nxp","Logic---Gates---AND gates","74AUP1G11GS","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G11GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G11.pdf","Production","AUP","AND gates","single 3-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","6.9","70","1","ultra low","-40~125","272","14.8","177","6","XSON6","SOT1202"
"nxp","Logic---Gates---AND gates","74AUP1G11GW","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G11GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G11.pdf","Production","AUP","AND gates","single 3-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","6.9","70","1","ultra low","-40~125","264","38.6","153","6","TSSOP6","SOT363"
"nxp","Logic---Gates---AND gates","74AUP2G08DC","http://www.nxp.com/products/logic/gates/and_gates/74AUP2G08DC.html","http://www.nxp.com/documents/data_sheet/74AUP2G08.pdf","Production","AUP","AND gates","dual 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","2","ultra low","-40~125","203","34.1","113","8","VSSOP8","SOT765-1"
"nxp","Logic---Gates---AND gates","74AUP2G08GD","http://www.nxp.com/products/logic/gates/and_gates/74AUP2G08GD.html","http://www.nxp.com/documents/data_sheet/74AUP2G08.pdf","Production","AUP","AND gates","dual 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","2","ultra low","-40~125","610","80.8","271","8","XSON8","SOT996-2"
"nxp","Logic---Gates---AND gates","74AUP2G08GF","http://www.nxp.com/products/logic/gates/and_gates/74AUP2G08GF.html","http://www.nxp.com/documents/data_sheet/74AUP2G08.pdf","Production","AUP","AND gates","dual 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","2","ultra low","-40~125","254","2.1","124","8","XSON8","SOT1089"
"nxp","Logic---Gates---AND gates","74AUP2G08GM","http://www.nxp.com/products/logic/gates/and_gates/74AUP2G08GM.html","http://www.nxp.com/documents/data_sheet/74AUP2G08.pdf","Production","AUP","AND gates","dual 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","2","ultra low","-40~125","251","128.0","","8","XQFN8","SOT902-2"
"nxp","Logic---Gates---AND gates","74AUP2G08GN","http://www.nxp.com/products/logic/gates/and_gates/74AUP2G08GN.html","http://www.nxp.com/documents/data_sheet/74AUP2G08.pdf","Production","AUP","AND gates","dual 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","2","ultra low","-40~125","238","10.6","148","8","XSON8","SOT1116"
"nxp","Logic---Gates---AND gates","74AUP2G08GS","http://www.nxp.com/products/logic/gates/and_gates/74AUP2G08GS.html","http://www.nxp.com/documents/data_sheet/74AUP2G08.pdf","Production","AUP","AND gates","dual 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","2","ultra low","-40~125","276","10.8","146","8","XSON8","SOT1203"
"nxp","Logic---Gates---AND gates","74AUP2G08GT","http://www.nxp.com/products/logic/gates/and_gates/74AUP2G08GT.html","http://www.nxp.com/documents/data_sheet/74AUP2G08.pdf","Production","AUP","AND gates","dual 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","2","ultra low","-40~125","327","6.1","157","8","XSON8","SOT833-1"
"nxp","Logic---Gates---AND gates","74AXP1G08GM","http://www.nxp.com/products/logic/gates/and_gates/74AXP1G08GM.html","http://www.nxp.com/documents/data_sheet/74AXP1G08.pdf","Production","AXP","AND gates","single 2-input AND gate","0.7 - 2.75","CMOS","+/- 4.5","2.6","70","1","ultra low","-40~85","322","8.3","164","6","XSON6","SOT886"
"nxp","Logic---Gates---AND gates","74AXP1G08GN","http://www.nxp.com/products/logic/gates/and_gates/74AXP1G08GN.html","http://www.nxp.com/documents/data_sheet/74AXP1G08.pdf","Production","AXP","AND gates","single 2-input AND gate","0.7 - 2.75","CMOS","+/- 4.5","2.6","70","1","ultra low","-40~85","366","28.6","226","6","XSON6","SOT1115"
"nxp","Logic---Gates---AND gates","74AXP1G08GS","http://www.nxp.com/products/logic/gates/and_gates/74AXP1G08GS.html","http://www.nxp.com/documents/data_sheet/74AXP1G08.pdf","Production","AXP","AND gates","single 2-input AND gate","0.7 - 2.75","CMOS","+/- 4.5","2.6","70","1","ultra low","-40~85","347","36.3","235","6","XSON6","SOT1202"
"nxp","Logic---Gates---AND gates","74AXP1G08GX","http://www.nxp.com/products/logic/gates/and_gates/74AXP1G08GX.html","http://www.nxp.com/documents/data_sheet/74AXP1G08.pdf","Production","AXP","AND gates","single 2-input AND gate","0.7 - 2.75","CMOS","+/- 4.5","2.6","70","1","ultra low","-40~85","352","115.9","217","5","X2SON5","SOT1226"
"nxp","Logic---Gates---AND gates","74AXP1G09GM","http://www.nxp.com/products/logic/gates/and_gates/74AXP1G09GM.html","http://www.nxp.com/documents/data_sheet/74AXP1G09.pdf","Production","","","","","","","","","","","","","","","6","XSON6","SOT886"
"nxp","Logic---Gates---AND gates","74AXP1G09GN","http://www.nxp.com/products/logic/gates/and_gates/74AXP1G09GN.html","http://www.nxp.com/documents/data_sheet/74AXP1G09.pdf","Production","","","","","","","","","","","","","","","6","XSON6","SOT1115"
"nxp","Logic---Gates---AND gates","74AXP1G09GS","http://www.nxp.com/products/logic/gates/and_gates/74AXP1G09GS.html","http://www.nxp.com/documents/data_sheet/74AXP1G09.pdf","Production","","","","","","","","","","","","","","","6","XSON6","SOT1202"
"nxp","Logic---Gates---AND gates","74AXP1G09GX","http://www.nxp.com/products/logic/gates/and_gates/74AXP1G09GX.html","http://www.nxp.com/documents/data_sheet/74AXP1G09.pdf","Production","","","","","","","","","","","","","","","5","X2SON5","SOT1226"
