"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---NAND gates","74AHCT30BQ","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT30BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT30.pdf","Production","AHC(T)","NAND gates","8-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.3","60","1","low","-40~125","108","22.7","76","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---NAND gates","74AHCT30D","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT30D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT30.pdf","Production","AHC(T)","NAND gates","8-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.3","60","1","low","-40~125","111","21.9","69","14","SO14","SOT108-1"
"nxp","Logic---Gates---NAND gates","74AHCT30PW","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT30PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT30.pdf","Production","AHC(T)","NAND gates","8-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.3","60","1","low","-40~125","143","8.45265486725664","69.4110619469027","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---NAND gates","74ALVC00BQ","http://www.nxp.com/products/logic/gates/nand_gates/74ALVC00BQ.html","http://www.nxp.com/documents/data_sheet/74ALVC00.pdf","Production","ALVC","NAND gates","quad 2-input NAND gate","1.65-3.6","TTL","+/- 24","2.1","145","4","low","-40~85","103","18.3","71","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---NAND gates","74ALVC00D","http://www.nxp.com/products/logic/gates/nand_gates/74ALVC00D.html","http://www.nxp.com/documents/data_sheet/74ALVC00.pdf","Production","ALVC","NAND gates","quad 2-input NAND gate","1.65-3.6","TTL","+/- 24","2.1","145","4","low","-40~85","103","17.1","62","14","SO14","SOT108-1"
"nxp","Logic---Gates---NAND gates","74ALVC00PW","http://www.nxp.com/products/logic/gates/nand_gates/74ALVC00PW.html","http://www.nxp.com/documents/data_sheet/74ALVC00.pdf","Production","ALVC","NAND gates","quad 2-input NAND gate","1.65-3.6","TTL","+/- 24","2.1","145","4","low","-40~85","138","6.87359292035398","64.1246371681416","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---NAND gates","74AUP1G00GF","http://www.nxp.com/products/logic/gates/nand_gates/74AUP1G00GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G00.pdf","Production","AUP","NAND gates","single 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","1","ultra low","-40~125","311","7.7","157","6","XSON6","SOT891"
"nxp","Logic---Gates---NAND gates","74AUP1G00GM","http://www.nxp.com/products/logic/gates/nand_gates/74AUP1G00GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G00.pdf","Production","AUP","NAND gates","single 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","1","ultra low","-40~125","311","7.7","157","6","XSON6","SOT886"
"nxp","Logic---Gates---NAND gates","74AUP1G00GN","http://www.nxp.com/products/logic/gates/nand_gates/74AUP1G00GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G00.pdf","Production","AUP","NAND gates","single 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","1","ultra low","-40~125","334","22.6","207","6","XSON6","SOT1115"
"nxp","Logic---Gates---NAND gates","74AUP1G00GS","http://www.nxp.com/products/logic/gates/nand_gates/74AUP1G00GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G00.pdf","Production","AUP","NAND gates","single 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","1","ultra low","-40~125","321","28.7","215","6","XSON6","SOT1202"
