"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","Description"
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCM857DS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCM857DS.html","http://www.nxp.com/documents/data_sheet/BCM857BV_BS_DS.pdf","SOT457","TSOP6","2.9 x 1.5 x 1",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCV61","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCV61.html","http://www.nxp.com/documents/data_sheet/BCV61.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1","Current Mirror"
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCV61A","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCV61A.html","http://www.nxp.com/documents/data_sheet/BCV61.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1","Current Mirror"
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCV61B","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCV61B.html","http://www.nxp.com/documents/data_sheet/BCV61.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1","Current Mirror"
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCV61C","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCV61C.html","http://www.nxp.com/documents/data_sheet/BCV61.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1","Current Mirror"
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCV62","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCV62.html","http://www.nxp.com/documents/data_sheet/BCV62.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1","Current Mirror"
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCV62A","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCV62A.html","http://www.nxp.com/documents/data_sheet/BCV62.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1","Current Mirror"
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCV62B","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCV62B.html","http://www.nxp.com/documents/data_sheet/BCV62.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1","Current Mirror"
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCV62C","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCV62C.html","http://www.nxp.com/documents/data_sheet/BCV62.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1","Current Mirror"
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","PMP4201G","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/PMP4201G.html","http://www.nxp.com/documents/data_sheet/PMP4201V_G_Y.pdf","SOT353","TSSOP5","2 x 1.25 x 0.95",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","PMP4201V","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/PMP4201V.html","http://www.nxp.com/documents/data_sheet/PMP4201V_G_Y.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","PMP4201Y","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/PMP4201Y.html","http://www.nxp.com/documents/data_sheet/PMP4201V_G_Y.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","PMP4501G","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/PMP4501G.html","http://www.nxp.com/documents/data_sheet/PMP4501V_G_Y.pdf","SOT353","TSSOP5","2 x 1.25 x 0.95",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","PMP4501V","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/PMP4501V.html","http://www.nxp.com/documents/data_sheet/PMP4501V_G_Y.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","PMP4501Y","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/PMP4501Y.html","http://www.nxp.com/documents/data_sheet/PMP4501V_G_Y.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","PMP5201G","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/PMP5201G.html","http://www.nxp.com/documents/data_sheet/PMP5201V_G_Y.pdf","SOT353","TSSOP5","2 x 1.25 x 0.95",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","PMP5201V","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/PMP5201V.html","http://www.nxp.com/documents/data_sheet/PMP5201V_G_Y.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","PMP5201Y","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/PMP5201Y.html","http://www.nxp.com/documents/data_sheet/PMP5201V_G_Y.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","PMP5501G","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/PMP5501G.html","http://www.nxp.com/documents/data_sheet/PMP5501V_G_Y.pdf","SOT353","TSSOP5","2 x 1.25 x 0.95",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","PMP5501V","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/PMP5501V.html","http://www.nxp.com/documents/data_sheet/PMP5501V_G_Y.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","PMP5501Y","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/PMP5501Y.html","http://www.nxp.com/documents/data_sheet/PMP5501V_G_Y.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95",""
