"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Min-Max) (V) ","P1dB (Typ) (dBm) ","应用","供电电压 (Typ) (V) ","PLC代码","输出截取点 (Typ) (dBm)  @ f (MHz)","三阶交调截取点 (Typ) (dBm) ","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","模具技术","旁路三阶交调截取点 (Typ) (dBm)  @ f (MHz)","LNA波段蜂窝应用","电源电流 (Typ) (mA) ","偏置","三阶输入交截点 (Typ) (dBm)  @ f (MHz)","输入P1dB (Typ) (dBm)  @  (MHz)","旁路增益 (dBm)  @ f (MHz)","噪声系数 (Typ) (dB)  @ f (MHz)","增益 (Typ) (dB)  @ f (MHz)","功率增益 (Typ) (dB)  @ f (MHz)","模式","待机电流 (Typ) (uA) ","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","输出功率 (Typ) (dBm)  @ f (MHz)","热阻 (Spec)(&#176;C/W)","类型","ACPR (Typ) (dBc)  @  (dBm)","测试信号","效率 (Typ) (%)  @  (dBm)","可选的测试信号","匹配","宽带效率 (Typ) (%) ","效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","P1dB (Typ) (W) "
"FSL","射频---射频低功率器件","MBC13916","MBC13916NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13916&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/general-purpose-sigec-rf-cascode-amplifier:MBC13916?&fpsp=1&tab=Documentation_Tab#MBC13916NT1","SiGe LNA with High Isolation for General Purpose Applications, SOT-343 package, 100-2500 MHz","-","-","100","2500","2.1 to 5","2.5","Buffer Amps, LNAs, VCOs, Cellular, Smart Metering, RKE","2.75","4","11 @ 900, 5.5 @ 1900","11","-","High Pwr RF SMT 4","4","PRODUCT MATURITY/SATURATION(4)","SiGe BiCMOS","-","900, 1900","4.7","Internal","-8 @ 900, -6 @ 1900","-16.5 @ 900, -15.5 @ 1900","-","1.25 @ 900, 2.1 @ 1900","19 @ 900, 11.5 @ 1900","19 @ 900, 11.5 @ 1900","Active, Disable","-","100 to 2500","-","10-YEARS APPLICATION LIFE","-","5 @ 900","400","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MBC13720","MBC13720-1900EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13720&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/sigec-low-noise-amplifier-with-bypass-switch:MBC13720?&fpsp=1&tab=Documentation_Tab#MBC13720-1900EVK","MBC13720 SiGe LNA Evaluation Kit for 1900 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MBC13720","MBC13720-900EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13720&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/sigec-low-noise-amplifier-with-bypass-switch:MBC13720?&fpsp=1&tab=Documentation_Tab#MBC13720-900EVK","MBC13720 SiGe LNA Evaluation Kit for 900 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MBC13720","MBC13720-900HEVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13720&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/sigec-low-noise-amplifier-with-bypass-switch:MBC13720?&fpsp=1&tab=Documentation_Tab#MBC13720-900HEVK","MBC13720 SiGe LNA Evaluation Kit for 900 MHz Applications with Higher IP3","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MBC13720","MBC13720NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13720&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/sigec-low-noise-amplifier-with-bypass-switch:MBC13720?&fpsp=1&tab=Documentation_Tab#MBC13720NT1","SiGe LNA with Active, Bypass and Standby Modes and Two IP3 Modes, 400-2500 MHz","-","-","400","2400","2.3 to 3","11.5","2.4 GHz ISM, 900 MHz ISM, CDMA, PCS, WLAN, UHF, TPMS, RKE, Smart Metering, LNAs, Cellular","2.7","4","22 @ 900, 24 @ 1900","22","-","High Pwr RF SMT 6","6","PRODUCT MATURITY/SATURATION(4)","SiGe BiCMOS","29 @ 1900, 25 @ 2400","900, 1900, 2400","5, 11","Internal","2 @ 900, 10 @ 1900","-8.5 @ 900, -2.5 @ 1900","-2.5 @ 1960, -2.8 @ 2400","1.2 @ 900, 1.38 @ 1900","20 @ 900, 14 @ 1900","20 @ 900, 14 @ 1900","2 IP3 Modes, Active, Bypass","2","400 to 2400","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG15241H","MMG15241HT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG15241H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/500-2800-mhz-15.9-db-24-dbm-e-phemt:MMG15241H?&fpsp=1&tab=Documentation_Tab#MMG15241HT1","E-pHEMT GPA/LNA, 500-2800 MHz, 15.9 dB, 24 dBm","-","-","500","2800","5 to 5","24","Cellular, PCS, LTE, WLAN, TD-SCDMA","5","3","39.4 @ 2140","39.4","-","High Pwr RF SMT 3","3","PRODUCT STABLE GROWTH/MATURITY(3)","E-pHEMT","-","-","85","-","23.5 @ 2140","-","-","1.6 @ 2140","15.9 @ 2140","15.9 @ 2140","-","-","500 to 2800","-","10-YEARS APPLICATION LIFE","-","24 @ 2140","59","A","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMA20312BV","MMA20312BVT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA20312BV&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/linear-amplifiers/1800-2200-mhz-27.2-db-30.5-dbm-ingap-hbt-linear-amplifier:MMA20312BV?&fpsp=1&tab=Documentation_Tab#MMA20312BVT1","InGaP HBT Linear Amplifier, 1800-2200 MHz, 27.2 dB, 30.5 dBm","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMA20312BVT1');trackRFAnalytics('MMA20312BVT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","1800","2200","3.3 to 5","30.5","-","-","2","-","44.5","-","QFN 12","12","PRODUCT RAPID GROWTH(2)","InGaP HBT","-","-","70","-","-","-","-","3.3 @ 2140","27.2 @ 2140","-","-","-","1800 to 2200","-","10-YEARS APPLICATION LIFE","-","30.5 @ 2140","52","AB","-52 @ 17","TD-SCDMA","9.3 @ 17","W-CDMA","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MBC13917","MBC13917EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13917&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-sigec-rf-cascode-low-noise-amplifier:MBC13917?&fpsp=1&tab=Documentation_Tab#MBC13917EPR2","SiGe LNA with High Isolation for General Purpose Applications, MLP6 package, 100-2500 MHz","-","-","100","2500","2.1 to 3.3","3.5","Buffer Amps, Cellular, LNAs, VCOs, Smart Metering, RKE","2.7","2","10.9 @ 434, 12.4 @ 900","12.4","-","DFN-EP 6","6","PRODUCT RAPID GROWTH(2)","SiGe BiCMOS","-","900, 1900","4.7","Internal","-16.1 @ 434, -11.6 @ 900","-24.8 @ 434, -20.5 @ 900","-","2.3 @ 434, 1.2 @ 900","27 @ 434, 24 @ 900","24 @ 900, 14.9 @ 1900","Active, Disable","-","100 to 2500","-","5-YEARS APPLICATION LIFE","-","6.5 @ 900","400","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MBC13917","MC13917-1900EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13917&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-sigec-rf-cascode-low-noise-amplifier:MBC13917?&fpsp=1&tab=Documentation_Tab#MC13917-1900EVK","MC13917 SiGe LNA Evaluation Kit for 1900 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","1 @ CNY317.93 each","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MBC13917","MC13917-350EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13917&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-sigec-rf-cascode-low-noise-amplifier:MBC13917?&fpsp=1&tab=Documentation_Tab#MC13917-350EVK","MC13917 SiGe LNA Evaluation Kit for 350 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","1 @ CNY317.93 each","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MBC13917","MC13917-434EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13917&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-sigec-rf-cascode-low-noise-amplifier:MBC13917?&fpsp=1&tab=Documentation_Tab#MC13917-434EVK","MC13917 SiGe LNA Evaluation Kit for 434 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","1 @ CNY317.93 each","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MBC13917","MC13917-900EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13917&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-sigec-rf-cascode-low-noise-amplifier:MBC13917?&fpsp=1&tab=Documentation_Tab#MC13917-900EVK","MC13917 SiGe LNA Evaluation Kit for 900 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","1 @ CNY317.93 each","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
