"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","预算报价（不含税）(CNY)","压力检测类型","压力范围 最小值-最大值 (Min-Max) (kPa) ","压力等级 (Max) (kPa) ","压力等级 (Max) (psi) ","精度(% 误差率) (Max) (%) ","输出类型","移植","集成度","工作环境温度 (Min-Max) (°C) ","Z轴加速 (Min-Max) (g) ","Pressure offset accuracy (kPa)   (0C &lt;= Ta &lt;= 70C)","GPIOs","供电电压 (Typ) (V) ","Accelerometer (Z Axis) offset accuracy (g) (0C &lt;= Ta &lt;= 70C)","PLC代码","感应轴","Accelerometer (X Axis) offset accuracy (g) (0C &lt;= Ta &lt;= 70C)","封装类型和焊端数","Pin count","PLC描述","LF灵敏度 (Min-Max) (V) ","X轴加速 (Min-Max)","射频输出功率 (Min-Max) (dBm) ","MCU内部用户闪存 (Spec) (kByte) ","无铅","供电电压 (Min-Max) (V) ","加速度传感器输出","加速度特性","认证级别","RoHS","特性","灵敏度数字Z轴 (Typ) (Cnts/g) ","状态","替代部件"
"FSL","传感器---压力传感器","MPXx6115","MPXA6115A6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXA6115A6U","Pressure Sensor, 5V, 15/115kPa, SOP 8, Rail","-","1000 @ CNY39.74 each","Absolute","15 to 115","115","16.7","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXA6115AC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXA6115AC6T1","Pressure Sensor, 5V, 15/115kPa, SOP 8, Reel","-","1000 @ CNY41.08 each","Absolute","15 to 115","115","16.7","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXA6115AC6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXA6115AC6U","Pressure Sensor, 5V, 15/115kPa, SOP 8, Rail","-","1000 @ CNY41.08 each","Absolute","15 to 115","115","16.7","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXA6115AC7U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXA6115AC7U","Pressure Sensor, 5V, 15/115kPa, Sensor 8, Rail","-","1000 @ CNY47.31 each","Absolute","15 to 115","115","16.7","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","Sensor 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXAZ6115AC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXAZ6115AC6T1","Pressure Sensor, 5V, 15/115kPa, SOP 8, Reel","-","1000 @ CNY48.77 each","Absolute","15 to 115","115","16.7","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXAZ6115AP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXAZ6115AP","Pressure Sensor, 5V, 15/115kPa, SOP 8, Port, Reel","-","1000 @ CNY47.31 each","Absolute","15 to 115","115","16.7","1.5","Analog","Side Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXAZ6115APT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXAZ6115APT1","Pressure Sensor, 5V, 15/115kPa, SOP 8, Port, Tray","-","1000 @ CNY47.31 each","Absolute","15 to 115","115","16.7","1.5","Analog","Side Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXH6115A6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXH6115A6T1","Pressure Sensor, 5V, 15/115kPa, SOP 8, Reel","-","1000 @ CNY31.60 each","Absolute","15 to 115","115","16.7","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXH6115A6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXH6115A6U","Pressure Sensor, 5V, 15/115kPa, SOP 8, Rail","-","1000 @ CNY31.60 each","Absolute","15 to 115","115","16.7","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXH6115AC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXH6115AC6T1","Pressure Sensor, 5V, 15/115kPa, SOP 8, Reel","-","1000 @ CNY33.51 each","Absolute","15 to 115","115","16.7","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
