"FSL","射频---射频(军用)","MMRF1305H","MMRF1305HR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1305H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/general-purpose-drivers/1.8-2000-mhz-100-w-50-v-broadband-rf-power-ldmos-transistors:MMRF1305H?&fpsp=1&tab=Documentation_Tab#MMRF1305HR5","Broadband RF Power LDMOS Transistor, 1.8-2000 MHz, 100 W, 50 V","-","1.8","2000","50","50","100","100 @ CW","1-Tone","27.2 @ 512","70","0.38","Unmatched","AB","LDMOS","70","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","0.0000018 to 2000","0 to 2000","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1305H","MMRF1305HSR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1305H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/general-purpose-drivers/1.8-2000-mhz-100-w-50-v-broadband-rf-power-ldmos-transistors:MMRF1305H?&fpsp=1&tab=Documentation_Tab#MMRF1305HSR5","Broadband RF Power LDMOS Transistor, 1.8-2000 MHz, 100 W, 50 V","-","1.8","2000","50","50","100","100 @ CW","1-Tone","27.2 @ 512","70","0.38","Unmatched","AB","LDMOS","70","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","0.0000018 to 2000","0 to 2000","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1304N","MMRF1304GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1304N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/general-purpose-drivers/1.8-2000-mhz-25-w-50-v-wideband-rf-power-ldmos-transistors:MMRF1304N?&fpsp=1&tab=Documentation_Tab#MMRF1304GNR1","Wideband RF Power LDMOS Transistor, 1.8 - 2000 MHz, 25 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1304GNR1');trackRFAnalytics('MMRF1304GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1.8","2000","50","44","25","25 @ CW","CW","25.5 @ 512","74.7","1.2","Unmatched","AB","LDMOS","75","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","0.0000018 to 2000","0 to 2000","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1304N","MMRF1304NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1304N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/general-purpose-drivers/1.8-2000-mhz-25-w-50-v-wideband-rf-power-ldmos-transistors:MMRF1304N?&fpsp=1&tab=Documentation_Tab#MMRF1304NR1","Wideband RF Power LDMOS Transistor, 1.8 - 2000 MHz, 25 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1304NR1');trackRFAnalytics('MMRF1304NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1.8","2000","50","44","25","25 @ CW","CW","25.5 @ 512","74.7","1.2","Unmatched","AB","LDMOS","75","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","0.0000018 to 2000","0 to 2000","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1304L","MMRF1304LR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1304L&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/general-purpose-drivers/1.8-2000-mhz-25-w-50-v-wideband-rf-power-ldmos-transistor:MMRF1304L?&fpsp=1&tab=Documentation_Tab#MMRF1304LR5","Wideband RF Power LDMOS Transistor, 1.8-2000 MHz, 25 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1304LR5');trackRFAnalytics('MMRF1304LR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1.8","2000","50","44","25","25 @ Peak","Pulse","25.9 @ 512","74","1.4","Unmatched","AB","LDMOS","73","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","0.0000018 to 2000","0 to 2000","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1021N","MMRF1021NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1021N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/136-941-mhz-7-w-7.5-v-wideband-rf-power-ldmos-transistor:MMRF1021N?&fpsp=1&tab=Documentation_Tab#MMRF1021NT1","Wideband RF Power LDMOS Transistor, 136-941 MHz, 7 W, 7.5 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1021NT1');trackRFAnalytics('MMRF1021NT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","136","941","7.5","38.6","7.3","7.3 @ CW","1-Tone","15.2 @ 870","71","1.1","Unmatched","AB","LDMOS","-","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","136 to 941","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1315N","MMRF1315NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1315N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/general-purpose-drivers/500-1000-mhz-60-w-cw-28-v-broadband-rf-power-ldmos-transistor:MMRF1315N?&fpsp=1&tab=Documentation_Tab#MMRF1315NR1","Broadband RF Power LDMOS Transistor, 500-1000 MHz, 60 W CW, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1315NR1');trackRFAnalytics('MMRF1315NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","500","1000","28","47.8","60","14 @ AVG","N-CDMA","21.1 @ 880","33","0.88","Unmatched","AB","LDMOS","-","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","500 to 1000","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1020-04N","MMRF1020-04GNR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1020-04N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/720-960-mhz-100-w-avg.-48-v-rf-power-ldmos-transistors:MMRF1020-04N?&fpsp=1&tab=Documentation_Tab#MMRF1020-04GNR3","Airfast RF Power LDMOS Transistor, 720-960 MHz, 100 W AVG., 48 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1020-04GNR3');trackRFAnalytics('MMRF1020-04GNR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","720","960","48","53","200","100 @ AVG","W-CDMA","19.5 @ 920","48.5","0.45","Input","AB","LDMOS","-","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","720 to 960","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1020-04N","MMRF1020-04NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1020-04N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/720-960-mhz-100-w-avg.-48-v-rf-power-ldmos-transistors:MMRF1020-04N?&fpsp=1&tab=Documentation_Tab#MMRF1020-04NR3","Airfast RF Power LDMOS Transistor, 720-960 MHz, 100 W AVG., 48 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1020-04NR3');trackRFAnalytics('MMRF1020-04NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","720","960","48","53","200","100 @ AVG","W-CDMA","19.5 @ 920","48.5","0.45","Input","AB","LDMOS","-","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","720 to 960","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1308H","MMRF1308HR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1308H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/1.8-600-mhz-600-w-cw-50-v-broadband-rf-power-mosfets:MMRF1308H?&fpsp=1&tab=Documentation_Tab#MMRF1308HR5","Lateral N-Channel Broadband RF Power MOSFET, 1.8-600 MHz, 600 W CW, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1308HR5');trackRFAnalytics('MMRF1308HR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1.8","600","50","57.8","600","600 @ CW","1-Tone","24.6 @ 230","75.2","0.12","Unmatched","AB","LDMOS","-","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","1.8 to 600","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1308H","MMRF1308HSR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1308H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/1.8-600-mhz-600-w-cw-50-v-broadband-rf-power-mosfets:MMRF1308H?&fpsp=1&tab=Documentation_Tab#MMRF1308HSR5","Lateral N-Channel Broadband RF Power MOSFET, 1.8-600 MHz, 600 W CW, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1308HSR5');trackRFAnalytics('MMRF1308HSR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1.8","600","50","57.8","600","600 @ CW","1-Tone","24.6 @ 230","75.2","0.12","Unmatched","AB","LDMOS","-","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","1.8 to 600","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1019N","MMRF1019NR4","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1019N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/rf-radar/1090-mhz-10-w-50-v-pulse-rf-power-ldmos-transistor:MMRF1019N?&fpsp=1&tab=Documentation_Tab#MMRF1019NR4","Pulsed Lateral N-Channel RF Power MOSFET, 1090 MHz, 10 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1019NR4');trackRFAnalytics('MMRF1019NR4','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","960","1400","50","40","10","10 @ Peak","Pulse","25 @ 1090","69","1.6","I/O","AB","LDMOS","-","4","-","High Pwr RF SMT 4","4","PRODUCT MATURITY/SATURATION(4)","960 to 1400","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1016H","MMRF1016HR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1016H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/2-500-mhz-600-w-50-v-broadband-rf-power-mosfet:MMRF1016H?&fpsp=1&tab=Documentation_Tab#MMRF1016HR5","Lateral N-Channel Broadband RF Power MOSFET, 2-500 MHz, 600 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1016HR5');trackRFAnalytics('MMRF1016HR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2","500","50","57.8","600","125 @ AVG","OFDM","25 @ 225","28.5","0.2","Unmatched","AB","LDMOS","-","4","-","Air Cavity 5","5","PRODUCT MATURITY/SATURATION(4)","2 to 500","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1015N","MMRF1015GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1015N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/general-purpose-drivers/1-2000-mhz-10-w-28-v-class-a-ab-rf-power-mosfets:MMRF1015N?&fpsp=1&tab=Documentation_Tab#MMRF1015GNR1","Lateral N-Channel Broadband RF Power MOSFET, 450-1500 MHz, 10 W, 28 V","-","1","2000","28","40","10","10 @ PEP","2-Tone","18 @ 960","32","2.85","Unmatched","A, AB","LDMOS","-","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","1 to 2000","-","-37","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1015N","MMRF1015NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1015N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/general-purpose-drivers/1-2000-mhz-10-w-28-v-class-a-ab-rf-power-mosfets:MMRF1015N?&fpsp=1&tab=Documentation_Tab#MMRF1015NR1","Lateral N-Channel Broadband RF Power MOSFET, 450-1500 MHz, 10 W, 28 V","-","1","2000","28","40","10","10 @ PEP","2-Tone","18 @ 960","32","2.85","Unmatched","A, AB","LDMOS","-","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","1 to 2000","-","-37","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1013H","MMRF1013HR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1013H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/rf-radar/2700-2900-mhz-320-w-30-v-pulse-s-band-rf-power-mosfets:MMRF1013H?&fpsp=1&tab=Documentation_Tab#MMRF1013HR5","Lateral N-Channel Broadband RF Power MOSFET, 2700-2900 MHz, 320 W, 30 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1013HR5');trackRFAnalytics('MMRF1013HR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2700","2900","30","55.1","320","320 @ Peak","Pulse","13.3 @ 2900","50.5","0.06","Unmatched","AB","LDMOS","-","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","2700 to 2900","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1013H","MMRF1013HSR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1013H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/rf-radar/2700-2900-mhz-320-w-30-v-pulse-s-band-rf-power-mosfets:MMRF1013H?&fpsp=1&tab=Documentation_Tab#MMRF1013HSR5","Lateral N-Channel Broadband RF Power MOSFET, 2700-2900 MHz, 320 W, 30 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1013HSR5');trackRFAnalytics('MMRF1013HSR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2700","2900","30","55.1","320","320 @ Peak","Pulse","13.3 @ 2900","50.5","0.06","Unmatched","AB","LDMOS","-","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","2700 to 2900","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
