"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channel Polarity","Configuration","V(BR)DSS Min (V)","VGS Max (V)","VGS(th) Max (V)","ID Max (A)","PD Max (W)","rDS(on) Max @ VGS = 2.5 V  (mOhms)","rDS(on) Max @ VGS = 4.5 V  (mOhms)","rDS(on) Max @ VGS = 10 V  (mOhms)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Ciss Typ (pF)","Coss Typ (pF)","Crss Typ (pF)","Package Type"
"on","IGBT 和 FET---MOSFET","EFC4630R","EFC4630R-TR","http://www.onsemi.cn/PowerSolutions/product.do?id=EFC4630R-TR","http://www.onsemi.com/pub/Collateral/ENA2320-D.PDF","N-Channel Power MOSFET, 24V, 6A, 45mΩ, Dual EFCP","Pb-free
Halide free","Active","N-Channel Power MOSFET, 24V, 6A, 45mΩ, Dual EFCP","N-Channel","Dual","24","12","1.3","6","1.6","72","45",,"7",,,,,,,"WLCSP-4"
"on","IGBT 和 FET---MOSFET","EFC6602R","EFC6602R-TR","http://www.onsemi.cn/PowerSolutions/product.do?id=EFC6602R-TR","http://www.onsemi.com/pub/Collateral/ENA2152-D.PDF","N-Channel Power MOSFET, 12V, 18A, 5.9mΩ, Dual EFCP","Pb-free
Halide free","Active","N-Channel Power MOSFET, 12V, 18A, 5.9mΩ, Dual EFCP","N-Channel","Dual","12","12","1.3","18","2","11","5.9",,"55",,,,,,,"WLCSP-6"
"on","IGBT 和 FET---MOSFET","EFC6605R","EFC6605R-TR","http://www.onsemi.cn/PowerSolutions/product.do?id=EFC6605R-TR","http://www.onsemi.com/pub/Collateral/ENA2302-D.PDF","N-Channel Power MOSFET, 20V, 10A, 13.3mΩ, Dual EFCP","Pb-free
Halide free","Active","N-Channel Power MOSFET, 20V, 10A, 13.3mΩ, Dual EFCP","N-Channel","Dual","20","10","1.3","10","1.6","17.4","13.3",,"19.8",,,,,,,"XFLGA-6"
"on","IGBT 和 FET---MOSFET","EFC6612R","EFC6612R-TF","http://www.onsemi.cn/PowerSolutions/product.do?id=EFC6612R-TF","http://www.onsemi.com/pub/Collateral/ENA2329-D.PDF","Power MOSFET, 20V, 5.1mΩ, 23A, Dual N-Channel","Pb-free
Halide free","Active","Power MOSFET, 20V, 5.1mΩ, 23A, Dual N-Channel","N-Channel","Dual","20","12","1.3","23","2.5","7.9","5.1",,"27",,,,,,,"CSP-6 / EFCP3517-6DGH-020"
"on","IGBT 和 FET---MOSFET","EMH2308","EMH2308-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=EMH2308-TL-H","http://www.onsemi.com/pub/Collateral/EMH2308-D.PDF","P-Channel Power MOSFET, -20V, -3A, 85mOhm, Single EMH8","Pb-free
Halide free","Active","P-Channel Power MOSFET, -20V, -3A, 85mOhm, Single EMH8","P-Channel","Dual","-20","10","1.3","-3","1","137","85",,"4",,"1.1",,"320","66","50","SOT-383FL / EMH-8"
"on","IGBT 和 FET---MOSFET","EMH2407","EMH2407-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=EMH2407-TL-H","http://www.onsemi.com/pub/Collateral/ENA1141-D.PDF","N-Channel Power MOSFET, 20V, 6A, 25mΩ, Dual EMH8","Pb-free
Halide free","Active","N-Channel Power MOSFET, 20V, 6A, 25mΩ, Dual EMH8","N-Channel","Dual","20","12","1.3","6","1.3","39","25",,"6.3",,"1.9",,"580","95","75","SOT-383FL / EMH-8"
"on","IGBT 和 FET---MOSFET","EMH2417R","EMH2417R-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=EMH2417R-TL-H","http://www.onsemi.com/pub/Collateral/ENA2313-D.PDF","N-Channel Power MOSFET, 12V, 11A, 10mΩ, Dual EMH8 Common Drain","Pb-free
Halide free","Active","N-Channel Power MOSFET, 12V, 11A, 10mΩ, Dual EMH8 Common Drain","N-Channel","Dual","12","12","1.3","11","1.3","19.6","10",,"16",,"5",,,,,"SOT-383FL / EMH-8"
"on","IGBT 和 FET---MOSFET","EMH2604","EMH2604-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=EMH2604-TL-H","http://www.onsemi.com/pub/Collateral/EMH2604-D.PDF","Pch+Nch Power MOSFET, 20V, 4A, 45mΩ, -20V, -3A, 85mΩ, Complementary Dual EMH8","Pb-free
Halide free","Active","Pch+Nch Power MOSFET, 20V, 4A, 45mΩ, -20V, -3A, 85mΩ, Complementary Dual EMH8","Complementary","Dual","20","10","1.3","4","1","67","45",,"4.7",,"1.6",,"345","67","52","SOT-383FL / EMH-8"
"on","IGBT 和 FET---MOSFET","FW216A","FW216A-TL-2W","http://www.onsemi.cn/PowerSolutions/product.do?id=FW216A-TL-2W","http://www.onsemi.com/pub/Collateral/ENA0176-D.PDF","N-Channel Power MOSFET, 35V, 4.5A, 64mΩ, Dual SOIC8","Pb-free
Halide free","Active","N-Channel Power MOSFET, 35V, 4.5A, 64mΩ, Dual SOIC8","N-Channel","Dual","35","20","2.5","4.5","1.6",,"112","64",,"5.6","0.8",,"280","60","30","SOIC-8"
"on","IGBT 和 FET---MOSFET","FW297","FW297-TL-2W","http://www.onsemi.cn/PowerSolutions/product.do?id=FW297-TL-2W","http://www.onsemi.com/pub/Collateral/FW297-D.PDF","Power MOSFET, 60 V, 58 mΩ, 4.5 A, Dual N-Channel","Pb-free
Halide free","Active","Power MOSFET, 60 V, 58 mΩ, 4.5 A, Dual N-Channel","N-Channel","Dual","60","20","2.6","4.5","1.8",,"84","58",,"14",,,"750","59","47","SOIC-8"
