"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Channels","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---正反器","MC74VHC74","MC74VHC74DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC74DR2G","http://www.onsemi.com/pub/Collateral/MC74VHC74-D.PDF","Dual D Flip-Flop with Set and Reset","Pb-free
Halide free","Active","Dual D Flip-Flop with Set and Reset","D-Type","2","2","5.5","9.3","8","SOIC-14
TSSOP-14"
"on","标准逻辑---正反器","MC74VHC74","MC74VHC74DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC74DTG","http://www.onsemi.com/pub/Collateral/MC74VHC74-D.PDF","Dual D Flip-Flop with Set and Reset","Pb-free
Halide free","Active","Dual D Flip-Flop with Set and Reset","D-Type","2","2","5.5","9.3","8","SOIC-14
TSSOP-14"
"on","标准逻辑---正反器","MC74VHC74","MC74VHC74DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC74DTR2G","http://www.onsemi.com/pub/Collateral/MC74VHC74-D.PDF","Dual D Flip-Flop with Set and Reset","Pb-free
Halide free","Active","Dual D Flip-Flop with Set and Reset","D-Type","2","2","5.5","9.3","8","SOIC-14
TSSOP-14"
"on","标准逻辑---正反器","MC74VHCT574A","MC74VHCT574ADTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT574ADTG","http://www.onsemi.com/pub/Collateral/MC74VHCT574A-D.PDF","Octal D Flip-Flop with 3-State Outputs","Pb-free
Halide free","Active","Octal D Flip-Flop with 3-State Outputs","D-Type","8","4.5","5.5","10.4","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---正反器","MC74VHCT574A","MC74VHCT574ADTRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT574ADTRG","http://www.onsemi.com/pub/Collateral/MC74VHCT574A-D.PDF","Octal D Flip-Flop with 3-State Outputs","Pb-free
Halide free","Active","Octal D Flip-Flop with 3-State Outputs","D-Type","8","4.5","5.5","10.4","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---正反器","MC74VHCT574A","MC74VHCT574ADWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT574ADWG","http://www.onsemi.com/pub/Collateral/MC74VHCT574A-D.PDF","Octal D Flip-Flop with 3-State Outputs","Pb-free
Halide free","Active","Octal D Flip-Flop with 3-State Outputs","D-Type","8","4.5","5.5","10.4","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---正反器","MC74VHCT574A","MC74VHCT574ADWRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT574ADWRG","http://www.onsemi.com/pub/Collateral/MC74VHCT574A-D.PDF","Octal D Flip-Flop with 3-State Outputs","Pb-free
Halide free","Active","Octal D Flip-Flop with 3-State Outputs","D-Type","8","4.5","5.5","10.4","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---正反器","NL17SZ74","NL17SZ74USG","http://www.onsemi.cn/PowerSolutions/product.do?id=NL17SZ74USG","http://www.onsemi.com/pub/Collateral/NL17SZ74-D.PDF","Single D Flip-Flop","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Single D Flip-Flop","D-Type","1","1.65","5","5","24","US8"
"on","标准逻辑---正反器","NL17SZ74","NLV17SZ74USG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV17SZ74USG","http://www.onsemi.com/pub/Collateral/NL17SZ74-D.PDF","Single D Flip-Flop, Automotive Device","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Single D Flip-Flop","D-Type","1","1.65","5","5","24","US8"
"on","标准逻辑---正反器","NLX1G74","NLVX1G74MUTCG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLVX1G74MUTCG","http://www.onsemi.com/pub/Collateral/NLX1G74-D.PDF","Single D Flip-Flop","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Single D Flip-Flop","D-Type","1","1.65","5.5","2.6","24","UQFN-8"
"on","标准逻辑---正反器","NLX1G74","NLX1G74MUTCG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLX1G74MUTCG","http://www.onsemi.com/pub/Collateral/NLX1G74-D.PDF","Single D Flip-Flop","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Single D Flip-Flop","D-Type","1","1.65","5.5","2.6","24","UQFN-8"
