"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Input Level","Output Level","VS Typ (V)","fin Typ (MHz)","fout Typ (MHz)","tJitter(Cy-Cy) Typ (ps)","tJitter(Period) Typ (ps)","tJitter(&#934;) Typ (ps)","tR & tF Typ (ps)","tR & tF Max (ps)","TA Min (&#0176;C)","TA Max (&#0176;C)","Package Type"
"on","时钟产生---PLL时钟产生器","NBC12439","NBC12439AFAR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NBC12439AFAR2G","http://www.onsemi.com/pub/Collateral/NBC12439-D.PDF","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","Pb-free
Halide free","Active","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","CMOS","ECL","3.3
5","10-20","50-800","±20","5",,"175","425","0","70","LQFP-32
PLCC-28
QFN-32"
"on","时钟产生---PLL时钟产生器","NBC12439","NBC12439AFNG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBC12439AFNG","http://www.onsemi.com/pub/Collateral/NBC12439-D.PDF","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","Pb-free
Halide free","Active","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","CMOS","ECL","3.3
5","10-20","50-800","±20","5",,"175","425","0","70","LQFP-32
PLCC-28
QFN-32"
"on","时钟产生---PLL时钟产生器","NBC12439","NBC12439AFNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NBC12439AFNR2G","http://www.onsemi.com/pub/Collateral/NBC12439-D.PDF","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","Pb-free
Halide free","Active","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","CMOS","ECL","3.3
5","10-20","50-800","±20","5",,"175","425","0","70","LQFP-32
PLCC-28
QFN-32"
"on","时钟产生---PLL时钟产生器","NBC12439","NBC12439AMNG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBC12439AMNG","http://www.onsemi.com/pub/Collateral/NBC12439-D.PDF","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","Pb-free
Halide free","Active","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","CMOS","ECL","3.3
5","10-20","50-800","±20","5",,"175","425","0","70","LQFP-32
PLCC-28
QFN-32"
"on","时钟产生---PLL时钟产生器","NBC12439","NBC12439AMNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NBC12439AMNR4G","http://www.onsemi.com/pub/Collateral/NBC12439-D.PDF","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","Pb-free
Halide free","Active","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","CMOS","ECL","3.3
5","10-20","50-800","±20","5",,"175","425","0","70","LQFP-32
PLCC-28
QFN-32"
"on","时钟产生---PLL时钟产生器","NBC12439","NBC12439FAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBC12439FAG","http://www.onsemi.com/pub/Collateral/NBC12439-D.PDF","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","Pb-free
Halide free","Active","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","CMOS","ECL","3.3
5","10-20","50-800","±20","5",,"175","425","0","70","LQFP-32
PLCC-28
QFN-32"
"on","时钟产生---PLL时钟产生器","NBC12439","NBC12439FAR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NBC12439FAR2G","http://www.onsemi.com/pub/Collateral/NBC12439-D.PDF","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","Pb-free
Halide free","Active","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","CMOS","ECL","3.3
5","10-20","50-800","±20","5",,"175","425","0","70","LQFP-32
PLCC-28
QFN-32"
"on","时钟产生---PLL时钟产生器","NBC12439","NBC12439FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBC12439FNG","http://www.onsemi.com/pub/Collateral/NBC12439-D.PDF","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","Pb-free
Halide free","Active","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","CMOS","ECL","3.3
5","10-20","50-800","±20","5",,"175","425","0","70","LQFP-32
PLCC-28
QFN-32"
"on","时钟产生---PLL时钟产生器","NBC12439","NBC12439FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NBC12439FNR2G","http://www.onsemi.com/pub/Collateral/NBC12439-D.PDF","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","Pb-free
Halide free","Active","PLL Clock Generator, Synthesized, Programmable, 3.3 V / 5.0 V, with Power Down (50 to 800 MHz)","CMOS","ECL","3.3
5","10-20","50-800","±20","5",,"175","425","0","70","LQFP-32
PLCC-28
QFN-32"
"on","时钟产生---PLL时钟产生器","P1P40167","P1P40167MNTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=P1P40167MNTWG","http://www.onsemi.com/pub/Collateral/P1P40167-D.PDF","4-PLL Clock Generator with Spread Spectrum, 1.8V, Low Power, 1.8V, 4-PLL Low Power Clock Generator with Spread Spectrum","Pb-free
Halide free","Active","4-PLL Clock Generator with Spread Spectrum, 1.8V, Low Power","Crystal","CMOS",,"27","22.5792
24.576 / 22.5792
27
37
48","225","±225",,"1.8","3.3","-10","80","QFN-16"
