"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Topology","Control Mode","fsw Typ (kHz)","Stand-by Mode","UVLO (V)","Short Circuit Protection","Latch","Soft Start","VCC Max (V)","Drive Cap. (mA)","Package Type"
"on","AC-DC控制器和稳压器---离线控制器","NCP1207A","NCP1207ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1207ADR2G","http://www.onsemi.com/pub/Collateral/NCP1207A-D.PDF","PWM Controller, Free Running Quasi-Resonant Current Mode","Pb-free
Halide free","Active","PWM Controller, Free Running Quasi-Resonant Current Mode","Flyback","Current Mode","Up to 1000","Yes","yes","Yes","Yes","Yes","16","500 / 500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1207A","NCP1207APG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1207APG","http://www.onsemi.com/pub/Collateral/NCP1207A-D.PDF","PWM Controller, Free Running Quasi-Resonant Current Mode","Pb-free
Halide free","Active","PWM Controller, Free Running Quasi-Resonant Current Mode","Flyback","Current Mode","Up to 1000","Yes","yes","Yes","Yes","Yes","16","500 / 500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1216","NCP1216D100R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1216D100R2G","http://www.onsemi.com/pub/Collateral/NCP1216-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","No","Yes","No","No","16","500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1216","NCP1216D133R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1216D133R2G","http://www.onsemi.com/pub/Collateral/NCP1216-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","No","Yes","No","No","16","500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1216","NCP1216D65R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1216D65R2G","http://www.onsemi.com/pub/Collateral/NCP1216-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","No","Yes","No","No","16","500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1216","NCP1216P100G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1216P100G","http://www.onsemi.com/pub/Collateral/NCP1216-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","No","Yes","No","No","16","500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1216","NCP1216P133G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1216P133G","http://www.onsemi.com/pub/Collateral/NCP1216-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","No","Yes","No","No","16","500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1216","NCP1216P65G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1216P65G","http://www.onsemi.com/pub/Collateral/NCP1216-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","No","Yes","No","No","16","500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1217","NCP1217D100R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1217D100R2G","http://www.onsemi.com/pub/Collateral/NCP1217-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","No","16","500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1217","NCP1217D133R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1217D133R2G","http://www.onsemi.com/pub/Collateral/NCP1217-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","No","16","500","PDIP-8
SOIC-8"
