"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Configuration","VRRM Min (V)","VF Max (V)","IRM Max (uA)","IF Max (A)","trr Max (ns)","Cj Max (pF)","Package Type"
"on","二极管和整流器---小信号开关二极管","DAN222M3T5G","DAN222M3T5G","http://www.onsemi.cn/PowerSolutions/product.do?id=DAN222M3T5G","http://www.onsemi.com/pub/Collateral/DAN222M3-D.PDF","Switching Diode, Dual, Common Cathode","AEC Qualified
Pb-free
Halide free","Active","Switching Diode, Dual, Common Cathode","Dual Common Cathode","80","1.2","0.1","0.1","4","3.5","SOT-723-3"
"on","二极管和整流器---小信号开关二极管","DAP222M3T5G","DAP222M3T5G","http://www.onsemi.cn/PowerSolutions/product.do?id=DAP222M3T5G","http://www.onsemi.com/pub/Collateral/DAP222M3-D.PDF","Switching Diode, Dual, Common Anode, 80 V","AEC Qualified
Pb-free
Halide free","Active","Switching Diode, Dual, Common Anode, 80 V","Common Anode","80","1.2","0.1","0.1","4","3.5","SOT-723-3"
"on","二极管和整流器---小信号开关二极管","DCC010","DCC010-TB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=DCC010-TB-E","-","Ultrahigh-Speed Switching Diode","Pb-free","Active","Ultrahigh-Speed Switching Diode","Dual Series","80","1.2","0.5","0.1","4","3","SC-59 / CP"
"on","二极管和整流器---小信号开关二极管","DCG010","DCG010-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=DCG010-TL-E","-","Ultrahigh-Speed Switching Diode","Pb-free","Active","Ultrahigh-Speed Switching Diode","Common Cathode","80","1.2","0.5","0.1","4","3","SC-70FL / MCPH-3"
"on","二极管和整流器---小信号开关二极管","M1MA141K","M1MA141KT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=M1MA141KT1G","http://www.onsemi.com/pub/Collateral/M1MA141KT1-D.PDF","40 V Switching Diode","AEC Qualified
Pb-free
Halide free","Active","40 V Switching Diode","Single","40","1.2","0.1","0.1","3","2","SC-70-3 / SOT-323-3"
"on","二极管和整流器---小信号开关二极管","M1MA142WA","M1MA142WAT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=M1MA142WAT1G","http://www.onsemi.com/pub/Collateral/M1MA141WAT1-D.PDF","80 V Common Anode Switching Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","80 V Common Anode Switching Diode","Common Anode","80","1.2","0.1","0.1","10","15","SC-70-3 / SOT-323-3"
"on","二极管和整流器---小信号开关二极管","M1MA142WA","SM1MA142WAT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SM1MA142WAT1G","http://www.onsemi.com/pub/Collateral/M1MA141WAT1-D.PDF","80 V Common Anode Switching Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","80 V Common Anode Switching Diode","Common Anode","80","1.2","0.1","0.1","10","15","SC-70-3 / SOT-323-3"
"on","二极管和整流器---小信号开关二极管","M1MA151K","M1MA151KT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=M1MA151KT1G","http://www.onsemi.com/pub/Collateral/M1MA151KT1-D.PDF","40 V Switching Diode","AEC Qualified
Pb-free
Halide free","Active","40 V Switching Diode","Single","40","1.2","0.1","0.1","3","2","SC-59-3"
"on","二极管和整流器---小信号开关二极管","M1MA151WK","M1MA151WKT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=M1MA151WKT1G","http://www.onsemi.com/pub/Collateral/M1MA151WKT1-D.PDF","40 V Common Cathode Switching Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","40 V Common Cathode Switching Diode","Common Cathode","40","1.2","0.1","0.1","3","2","SC-59-3"
"on","二极管和整流器---小信号开关二极管","M1MA151WK","SM1MA151WKT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SM1MA151WKT1G","http://www.onsemi.com/pub/Collateral/M1MA151WKT1-D.PDF","40 V Common Cathode Switching Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","40 V Common Cathode Switching Diode","Common Cathode","40","1.2","0.1","0.1","3","2","SC-59-3"
"on","二极管和整流器---小信号开关二极管","M1MA152WA","M1MA152WAT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=M1MA152WAT1G","http://www.onsemi.com/pub/Collateral/M1MA151WAT1-D.PDF","80 V Dual Common Anode Switching Diode","AEC Qualified
Pb-free
Halide free","Active","80 V Dual Common Anode Switching Diode","Common Anode","80","1.2","0.1","0.1","10","15","SC-59-3"
"on","二极管和整流器---小信号开关二极管","MMBD2835L","MMBD2835LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMBD2835LT1G","http://www.onsemi.com/pub/Collateral/MMBD2835LT1-D.PDF","35 V Dual Common Anode Switching Diode","AEC Qualified
Pb-free
Halide free","Active","35 V Dual Common Anode Switching Diode","Common Anode","35","1","0.1","0.1","4","4","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","MMBD2837L","MMBD2837LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMBD2837LT1G","http://www.onsemi.com/pub/Collateral/MMBD2837LT1-D.PDF","35 V Dual Common Cathode Switching Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","35 V Dual Common Cathode Switching Diode","Common Cathode","35","1","0.1","0.1","4","4","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","MMBD2837L","SMMBD2837LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SMMBD2837LT1G","http://www.onsemi.com/pub/Collateral/MMBD2837LT1-D.PDF","35 V Dual Common Cathode Switching Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","35 V Dual Common Cathode Switching Diode","Common Cathode","35","1","0.1","0.1","4","4","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","MMBD6050L","MMBD6050LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMBD6050LT1G","http://www.onsemi.com/pub/Collateral/MMBD6050LT1-D.PDF","70 V Switching Diode","AEC Qualified
Pb-free
Halide free","Active","70 V Switching Diode","Single","70","1.1","0.1","0.2","4","2.5","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","MMBD6050L","MMBD6050LT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMBD6050LT3G","http://www.onsemi.com/pub/Collateral/MMBD6050LT1-D.PDF","70 V Switching Diode","AEC Qualified
Pb-free
Halide free","Active","70 V Switching Diode","Single","70","1.1","0.1","0.2","4","2.5","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","MMBD7000L","MMBD7000LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMBD7000LT1G","http://www.onsemi.com/pub/Collateral/MMBD7000LT1-D.PDF","100 V Switching Diode, Dual, Series","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","100 V Switching Diode, Dual, Series","Dual Series","100","1.1","1","0.2","4","1.5","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","MMBD7000L","MMBD7000LT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMBD7000LT3G","http://www.onsemi.com/pub/Collateral/MMBD7000LT1-D.PDF","100 V Switching Diode, Dual, Series","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","100 V Switching Diode, Dual, Series","Dual Series","100","1.1","1","0.2","4","1.5","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","MMBD7000L","SMMBD7000LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SMMBD7000LT1G","http://www.onsemi.com/pub/Collateral/MMBD7000LT1-D.PDF","100 V Switching Diode, Dual, Series","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","100 V Switching Diode, Dual, Series","Dual Series","100","1.1","1","0.2","4","1.5","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","MMBD7000L","SMMBD7000LT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=SMMBD7000LT3G","http://www.onsemi.com/pub/Collateral/MMBD7000LT1-D.PDF","100 V Switching Diode, Dual, Series","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","100 V Switching Diode, Dual, Series","Dual Series","100","1.1","1","0.2","4","1.5","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","MMDL6050","MMDL6050T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMDL6050T1G","http://www.onsemi.com/pub/Collateral/MMDL6050T1-D.PDF","70 V Switching Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","70 V Switching Diode","Single","70","0.7","0.1","0.2","4","2.5","SOD-323"
