"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Output","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---缓冲器","MC74VHC1G126","M74VHC1G126DFT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74VHC1G126DFT1G","http://www.onsemi.com/pub/Collateral/MC74VHC1G126-D.PDF","Single Non-Inverting Buffer, 3-State","Pb-free
Halide free","Active","Single Non-Inverting Buffer, 3-State","1","3-State","2","5.5","7.5","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC1G126","M74VHC1G126DFT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74VHC1G126DFT2G","http://www.onsemi.com/pub/Collateral/MC74VHC1G126-D.PDF","Single Non-Inverting Buffer, 3-State","Pb-free
Halide free","Active","Single Non-Inverting Buffer, 3-State","1","3-State","2","5.5","7.5","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC1G126","M74VHC1G126DTT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74VHC1G126DTT1G","http://www.onsemi.com/pub/Collateral/MC74VHC1G126-D.PDF","Single Non-Inverting Buffer, 3-State","Pb-free
Halide free","Active","Single Non-Inverting Buffer, 3-State","1","3-State","2","5.5","7.5","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC1GT125","M74VHC1GT125DF1G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74VHC1GT125DF1G","http://www.onsemi.com/pub/Collateral/MC74VHC1GT125-D.PDF","Single Non-Inverting Buffer, 3-State","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Single Non-Inverting Buffer, 3-State","1","3-State","3","5.5","7.5","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC1GT125","M74VHC1GT125DF2G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74VHC1GT125DF2G","http://www.onsemi.com/pub/Collateral/MC74VHC1GT125-D.PDF","Single Non-Inverting Buffer, 3-State","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Single Non-Inverting Buffer, 3-State","1","3-State","3","5.5","7.5","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC1GT125","M74VHC1GT125DT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74VHC1GT125DT1G","http://www.onsemi.com/pub/Collateral/MC74VHC1GT125-D.PDF","Single Non-Inverting Buffer, 3-State","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Single Non-Inverting Buffer, 3-State","1","3-State","3","5.5","7.5","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC1GT125","NLVVHC1GT125DF1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLVVHC1GT125DF1G","http://www.onsemi.com/pub/Collateral/MC74VHC1GT125-D.PDF","Single Non-Inverting Buffer, 3-State","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Single Non-Inverting Buffer, 3-State","1","3-State","3","5.5","7.5","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC1GT125","NLVVHC1GT125DF2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLVVHC1GT125DF2G","http://www.onsemi.com/pub/Collateral/MC74VHC1GT125-D.PDF","Single Non-Inverting Buffer, 3-State","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Single Non-Inverting Buffer, 3-State","1","3-State","3","5.5","7.5","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC1GT125","NLVVHC1GT125DT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLVVHC1GT125DT1G","http://www.onsemi.com/pub/Collateral/MC74VHC1GT125-D.PDF","Single Non-Inverting Buffer, 3-State","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Single Non-Inverting Buffer, 3-State","1","3-State","3","5.5","7.5","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC1GT125","SLV74VHC1GT125DFT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=SLV74VHC1GT125DFT2G","http://www.onsemi.com/pub/Collateral/MC74VHC1GT125-D.PDF","Single Non-Inverting Buffer, 3-State","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Single Non-Inverting Buffer, 3-State","1","3-State","3","5.5","7.5","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC1GT50","M74VHC1GT50DFT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74VHC1GT50DFT1G","http://www.onsemi.com/pub/Collateral/MC74VHC1GT50-D.PDF","Single Non-Inverting Buffer, TTL Level","Pb-free
Halide free","Active","Single Non-Inverting Buffer, TTL Level","1","CMOS","1.65","5.5","7.7","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC1GT50","M74VHC1GT50DFT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74VHC1GT50DFT2G","http://www.onsemi.com/pub/Collateral/MC74VHC1GT50-D.PDF","Single Non-Inverting Buffer, TTL Level","Pb-free
Halide free","Active","Single Non-Inverting Buffer, TTL Level","1","CMOS","1.65","5.5","7.7","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC1GT50","M74VHC1GT50DTT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74VHC1GT50DTT1G","http://www.onsemi.com/pub/Collateral/MC74VHC1GT50-D.PDF","Single Non-Inverting Buffer, TTL Level","Pb-free
Halide free","Active","Single Non-Inverting Buffer, TTL Level","1","CMOS","1.65","5.5","7.7","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
