"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Number of Switches","Configuration","Icc Max (uA)","ron Max (Ohms)","VCC Min (V)","VCC Max (V)","Package Type"
"on","模拟开关---信号开关","MC74VHC4066","MC74VHC4066DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC4066DTR2G","http://www.onsemi.com/pub/Collateral/MC74VHC4066-D.PDF","Quad Analog Switch/Multiplexer/Demultiplexer (Mux/Demux)","Pb-free
Halide free","Active","Quad Analog Switch/Multiplexer/Demultiplexer (Mux/Demux)","4","4","SPST","160","120","2","12","SOIC-14
TSSOP-14"
"on","模拟开关---信号开关","NCN1188","NCN1188MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCN1188MUTAG","http://www.onsemi.com/pub/Collateral/NCN1188-D.PDF","Data Switch, 3:1 High Speed USB Switch with Audio and MHL Capability","Pb-free
Halide free","Active","Data Switch, 3:1 High Speed USB Switch with Audio and MHL Capability","2",,,,,,,"UQFN-12"
"on","模拟开关---信号开关","NCN3411","NCN3411MTTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCN3411MTTWG","http://www.onsemi.com/pub/Collateral/NCN3411-D.PDF","Data Switch, 4-Channel Differential, 1:2 Mux/Demux, for PCI Express Gen3","Pb-free
Halide free","Active","Data Switch, 4-Channel Differential, 1:2 Mux/Demux, for PCI Express Gen3","8",,,,,,,"WQFN-42"
"on","模拟开关---信号开关","NCN9252","NCN9252MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCN9252MUTAG","http://www.onsemi.com/pub/Collateral/NCN9252-D.PDF","DP3T Data Switch, USB 2.0 High Speed (480 Mbps), USB/UART/Data Multiplexing","Pb-free
Halide free","Active","DP3T Data Switch, USB 2.0 High Speed (480 Mbps), USB/UART/Data Multiplexing","2",,,,,,,"UQFN-12"
"on","模拟开关---信号开关","NLAS1053","NLAS1053USG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS1053USG","http://www.onsemi.com/pub/Collateral/NLAS1053-D.PDF","2:1 Mux/Demux Analog Switches","Pb-free
Halide free","Active","2:1 Mux/Demux Analog Switches","1","2","SPDT","2","28","2","5.5","US8"
"on","模拟开关---信号开关","NLAS2750","NLAS2750MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS2750MUTAG","http://www.onsemi.com/pub/Collateral/NLAS2750-D.PDF","Dual SPDT Analog Switch with Negative Swing","Pb-free
Halide free","Active","Dual SPDT Analog Switch with Negative Swing","2","4","SPDT","2","0.5","1.65","4.5","UQFN-10"
"on","模拟开关---信号开关","NLAS323","NLAS323USG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS323USG","http://www.onsemi.com/pub/Collateral/NLAS323-D.PDF","Dual SPST Analog Switch, Single Supply","Pb-free
Halide free","Active","Dual SPST Analog Switch, Single Supply","2","2","SPST","2","30","2","5.5","US8"
"on","模拟开关---信号开关","NLAS325","NLAS325USG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS325USG","http://www.onsemi.com/pub/Collateral/NLAS325-D.PDF","Dual SPST Analog Switch, Single Supply","Pb-free
Halide free","Active","Dual SPST Analog Switch, Single Supply","2","2","SPST","8","30","2","5.5","US8"
"on","模拟开关---信号开关","NLAS3699","NLAS3699MN1R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS3699MN1R2G","http://www.onsemi.com/pub/Collateral/NLAS3699-D.PDF","Analog Switch, Dual DPDT","Pb-free
Halide free","Active","Analog Switch, Dual DPDT","4","8","DPDT","2","0.5","1.65","3.6","QFN-16"
"on","模拟开关---信号开关","NLAS3799","NLAS3799LMNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS3799LMNR2G","http://www.onsemi.com/pub/Collateral/NLAS3799-D.PDF","Analog Switch, Dual DPDT","Pb-free
Halide free","Active","Analog Switch, Dual DPDT","4","8","DPDT","2","0.5","1.65","3.6","QFN-16"
"on","模拟开关---信号开关","NLAS3799","NLAS3799MNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS3799MNR2G","http://www.onsemi.com/pub/Collateral/NLAS3799-D.PDF","Analog Switch, Dual DPDT","Pb-free
Halide free","Active","Analog Switch, Dual DPDT","4","8","DPDT","2","0.5","1.65","3.6","QFN-16"
"on","模拟开关---信号开关","NLAS3899","NLAS3899BMNTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS3899BMNTBG","http://www.onsemi.com/pub/Collateral/NLAS3899B-D.PDF","Analog Switch, Dual DPDT, Low RON, Low Capacitance","Pb-free
Halide free","Active","Analog Switch, Dual DPDT, Low RON, Low Capacitance","4","8","DPDT","2","4","1.65","4.3
4.4","QFN-16"
"on","模拟开关---信号开关","NLAS3899","NLAS3899BMNTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS3899BMNTWG","http://www.onsemi.com/pub/Collateral/NLAS3899B-D.PDF","Analog Switch, Dual DPDT, Low RON, Low Capacitance","Pb-free
Halide free","Active","Analog Switch, Dual DPDT, Low RON, Low Capacitance","4","8","DPDT","2","4","1.65","4.3
4.4","QFN-16"
"on","模拟开关---信号开关","NLAS3899","NLAS3899BMNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS3899BMNTXG","http://www.onsemi.com/pub/Collateral/NLAS3899B-D.PDF","Analog Switch, Dual DPDT, Low RON, Low Capacitance","Pb-free
Halide free","Active","Analog Switch, Dual DPDT, Low RON, Low Capacitance","4","8","DPDT","2","4","1.65","4.3
4.4","QFN-16"
"on","模拟开关---信号开关","NLAS4053","NLAS4053DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS4053DR2G","http://www.onsemi.com/pub/Collateral/NLAS4053-D.PDF","Analog Multiplexers/Demultiplexers","Pb-free
Halide free","Active","Analog Multiplexers/Demultiplexers","3","6","SPDT","80","0.037
37","2.5","5.5","SOIC-16
TSSOP-16"
