"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Channels","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---锁存器和寄存器","MC74LVX373","MC74LVX373DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX373DTR2G","http://www.onsemi.com/pub/Collateral/MC74LVX373-D.PDF","Octal Transparent Latch 3-State","Pb-free
Halide free","Active","Octal Transparent Latch 3-State","Latch","8","2","3.6","12.8","4","SOIC-20W
TSSOP-20"
"on","标准逻辑---锁存器和寄存器","MC74LVX373","MC74LVX373DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX373DWR2G","http://www.onsemi.com/pub/Collateral/MC74LVX373-D.PDF","Octal Transparent Latch 3-State","Pb-free
Halide free","Active","Octal Transparent Latch 3-State","Latch","8","2","3.6","12.8","4","SOIC-20W
TSSOP-20"
"on","标准逻辑---锁存器和寄存器","MC74VHC259","MC74VHC259DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC259DG","http://www.onsemi.com/pub/Collateral/MC74VHC259-D.PDF","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Pb-free
Halide free","Active","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Latch","1","2","5.5","10","8","SOIC-16
TSSOP-16"
"on","标准逻辑---锁存器和寄存器","MC74VHC259","MC74VHC259DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC259DR2G","http://www.onsemi.com/pub/Collateral/MC74VHC259-D.PDF","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Pb-free
Halide free","Active","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Latch","1","2","5.5","10","8","SOIC-16
TSSOP-16"
"on","标准逻辑---锁存器和寄存器","MC74VHC259","MC74VHC259DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC259DTG","http://www.onsemi.com/pub/Collateral/MC74VHC259-D.PDF","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Pb-free
Halide free","Active","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Latch","1","2","5.5","10","8","SOIC-16
TSSOP-16"
"on","标准逻辑---锁存器和寄存器","MC74VHC259","MC74VHC259DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC259DTR2G","http://www.onsemi.com/pub/Collateral/MC74VHC259-D.PDF","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Pb-free
Halide free","Active","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Latch","1","2","5.5","10","8","SOIC-16
TSSOP-16"
"on","标准逻辑---锁存器和寄存器","MC74VHC573","MC74VHC573DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC573DTR2G","http://www.onsemi.com/pub/Collateral/MC74VHC573-D.PDF","Octal Non-Inverting D Latch, 3-State Output","Pb-free
Halide free","Active","Octal Non-Inverting D Latch, 3-State Output","Latch","8","2","5.5","8.8","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---锁存器和寄存器","MC74VHC573","MC74VHC573DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC573DWR2G","http://www.onsemi.com/pub/Collateral/MC74VHC573-D.PDF","Octal Non-Inverting D Latch, 3-State Output","Pb-free
Halide free","Active","Octal Non-Inverting D Latch, 3-State Output","Latch","8","2","5.5","8.8","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---锁存器和寄存器","MC74VHCT259A","MC74VHCT259ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT259ADG","http://www.onsemi.com/pub/Collateral/MC74VHCT259A-D.PDF","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Pb-free
Halide free","Active","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Latch","1","4.5","5.5","10","8","SOIC-16
TSSOP-16"
"on","标准逻辑---锁存器和寄存器","MC74VHCT259A","MC74VHCT259ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT259ADR2G","http://www.onsemi.com/pub/Collateral/MC74VHCT259A-D.PDF","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Pb-free
Halide free","Active","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Latch","1","4.5","5.5","10","8","SOIC-16
TSSOP-16"
"on","标准逻辑---锁存器和寄存器","MC74VHCT259A","MC74VHCT259ADTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT259ADTG","http://www.onsemi.com/pub/Collateral/MC74VHCT259A-D.PDF","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Pb-free
Halide free","Active","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Latch","1","4.5","5.5","10","8","SOIC-16
TSSOP-16"
"on","标准逻辑---锁存器和寄存器","MC74VHCT259A","MC74VHCT259ADTRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT259ADTRG","http://www.onsemi.com/pub/Collateral/MC74VHCT259A-D.PDF","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Pb-free
Halide free","Active","8-Bit Addressable Latch/1-of-8 Decoder CMOS Logic Level Shifter","Latch","1","4.5","5.5","10","8","SOIC-16
TSSOP-16"
"on","标准逻辑---锁存器和寄存器","MC74VHCT573A","MC74VHCT573ADTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT573ADTG","http://www.onsemi.com/pub/Collateral/MC74VHCT573A-D.PDF","Octal D Latch with 3-State Output","Pb-free
Halide free","Active","Octal D Latch with 3-State Output","Latch","8","4.5","5.5","9.5","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---锁存器和寄存器","MC74VHCT573A","MC74VHCT573ADTRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT573ADTRG","http://www.onsemi.com/pub/Collateral/MC74VHCT573A-D.PDF","Octal D Latch with 3-State Output","Pb-free
Halide free","Active","Octal D Latch with 3-State Output","Latch","8","4.5","5.5","9.5","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---锁存器和寄存器","MC74VHCT573A","MC74VHCT573ADWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT573ADWG","http://www.onsemi.com/pub/Collateral/MC74VHCT573A-D.PDF","Octal D Latch with 3-State Output","Pb-free
Halide free","Active","Octal D Latch with 3-State Output","Latch","8","4.5","5.5","9.5","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---锁存器和寄存器","MC74VHCT573A","MC74VHCT573ADWRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT573ADWRG","http://www.onsemi.com/pub/Collateral/MC74VHCT573A-D.PDF","Octal D Latch with 3-State Output","Pb-free
Halide free","Active","Octal D Latch with 3-State Output","Latch","8","4.5","5.5","9.5","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---锁存器和寄存器","NLV74HC165A","NLV74HC165ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74HC165ADR2G","http://www.onsemi.com/pub/Collateral/MC74HC165A-D.PDF","8-Bit Serial or Parallel-Input/Serial Output Shift Register","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","8-Bit Serial or Parallel-Input/Serial Output Shift Register","Shift Register","1","2","6","30","4","SOIC-16"
