"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Configuration","VRRM Min (V)","VF Max (V)","IRM Max (uA)","IO(rec) Max (A)","IFSM Max (A)","trr Max (ns)","Cj Max (pF)","Package Type"
"on","二极管和整流器---肖特基二极管及整流器","MBR440MFS","MBR440MFST3G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR440MFST3G","http://www.onsemi.com/pub/Collateral/MBR440MFS-D.PDF","Schottky Power Rectifier, Switch-mode, 4.0 A, 40 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Schottky Power Rectifier, Switch-mode, 4.0 A, 40 V","Single","40","0.65","800","4","40",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR440MFS","NRVB440MFST1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVB440MFST1G","http://www.onsemi.com/pub/Collateral/MBR440MFS-D.PDF","Schottky Power Rectifier, Switch-mode, 4.0 A, 40 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Schottky Power Rectifier, Switch-mode, 4.0 A, 40 V","Single","40","0.65","800","4","40",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR440MFS","NRVB440MFST3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVB440MFST3G","http://www.onsemi.com/pub/Collateral/MBR440MFS-D.PDF","Schottky Power Rectifier, Switch-mode, 4.0 A, 40 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Schottky Power Rectifier, Switch-mode, 4.0 A, 40 V","Single","40","0.65","800","4","40",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR440MFS","NRVB440MFSWFT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVB440MFSWFT1G","http://www.onsemi.com/pub/Collateral/MBR440MFS-D.PDF","Schottky Power Rectifier, Switch-mode, 4.0 A, 40 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Schottky Power Rectifier, Switch-mode, 4.0 A, 40 V","Single","40","0.65","800","4","40",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR440MFS","NRVB440MFSWFT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVB440MFSWFT3G","http://www.onsemi.com/pub/Collateral/MBR440MFS-D.PDF","Schottky Power Rectifier, Switch-mode, 4.0 A, 40 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Schottky Power Rectifier, Switch-mode, 4.0 A, 40 V","Single","40","0.65","800","4","40",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR5100MFS","MBR5100MFST1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR5100MFST1G","http://www.onsemi.com/pub/Collateral/MBR5100MFS-D.PDF","5A 100V Schottky Rectifier in SO-8FL","AEC Qualified
Pb-free
Halide free","Active","5A 100V Schottky Rectifier in SO-8FL","Single","100","0.98","10","5","100",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR5100MFS","MBR5100MFST3G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR5100MFST3G","http://www.onsemi.com/pub/Collateral/MBR5100MFS-D.PDF","5A 100V Schottky Rectifier in SO-8FL","AEC Qualified
Pb-free
Halide free","Active","5A 100V Schottky Rectifier in SO-8FL","Single","100","0.98","10","5","100",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR5100MFS","NRVB5100MFST1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVB5100MFST1G","http://www.onsemi.com/pub/Collateral/MBR5100MFS-D.PDF","5A 100V Schottky Rectifier in SO-8FL","AEC Qualified
Pb-free
Halide free","Active","5A 100V Schottky Rectifier in SO-8FL","Single","100","0.98","10","5","100",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR5100MFS","NRVB5100MFST3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVB5100MFST3G","http://www.onsemi.com/pub/Collateral/MBR5100MFS-D.PDF","5A 100V Schottky Rectifier in SO-8FL","AEC Qualified
Pb-free
Halide free","Active","5A 100V Schottky Rectifier in SO-8FL","Single","100","0.98","10","5","100",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR560MFS","MBR560MFST1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR560MFST1G","http://www.onsemi.com/pub/Collateral/MBR560MFS-D.PDF","5A 60V Schottky Rectifier in SO-8FL","AEC Qualified
Pb-free
Halide free","Active","5A 60V Schottky Rectifier in SO-8FL","Single","60","0.78","150","5","100",,,"SO-8FL / DFN-5"
