"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Output","Polarity","VO (V)","IO Typ (A)","VI Max (V)","VDO Typ (V)","Iq Typ (mA)","PSRR (dB)","Noise (microVrms)","Package Type"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LM317M","LM317MBTG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM317MBTG","http://www.onsemi.com/pub/Collateral/LM317M-D.PDF","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA, V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA","Single","Positive","Adjustable","0.5","40","2.1",,"80",,"DPAK-3
SOT-223-4 / TO-261-4
TO-220-3"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LM317M","LM317MDTG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM317MDTG","http://www.onsemi.com/pub/Collateral/LM317M-D.PDF","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA, V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA","Single","Positive","Adjustable","0.5","40","2.1",,"80",,"DPAK-3
SOT-223-4 / TO-261-4
TO-220-3"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LM317M","LM317MDTRKG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM317MDTRKG","http://www.onsemi.com/pub/Collateral/LM317M-D.PDF","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA, V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA","Single","Positive","Adjustable","0.5","40","2.1",,"80",,"DPAK-3
SOT-223-4 / TO-261-4
TO-220-3"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LM317M","LM317MSTT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM317MSTT3G","http://www.onsemi.com/pub/Collateral/LM317M-D.PDF","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA, V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA","Single","Positive","Adjustable","0.5","40","2.1",,"80",,"DPAK-3
SOT-223-4 / TO-261-4
TO-220-3"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LM317M","LM317MTG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM317MTG","http://www.onsemi.com/pub/Collateral/LM317M-D.PDF","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA, V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA","Single","Positive","Adjustable","0.5","40","2.1",,"80",,"DPAK-3
SOT-223-4 / TO-261-4
TO-220-3"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LM317M","NCV317MABDTRKG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV317MABDTRKG","http://www.onsemi.com/pub/Collateral/LM317M-D.PDF","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA, V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA","Single","Positive","Adjustable","0.5","40","2.1",,"80",,"DPAK-3
SOT-223-4 / TO-261-4
TO-220-3"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LM317M","NCV317MABSTT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV317MABSTT3G","http://www.onsemi.com/pub/Collateral/LM317M-D.PDF","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA, V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA","Single","Positive","Adjustable","0.5","40","2.1",,"80",,"DPAK-3
SOT-223-4 / TO-261-4
TO-220-3"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LM317M","NCV317MBDTG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV317MBDTG","http://www.onsemi.com/pub/Collateral/LM317M-D.PDF","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA, V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA","Single","Positive","Adjustable","0.5","40","2.1",,"80",,"DPAK-3
SOT-223-4 / TO-261-4
TO-220-3"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LM317M","NCV317MBDTRKG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV317MBDTRKG","http://www.onsemi.com/pub/Collateral/LM317M-D.PDF","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA, V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA","Single","Positive","Adjustable","0.5","40","2.1",,"80",,"DPAK-3
SOT-223-4 / TO-261-4
TO-220-3"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LM317M","NCV317MBSTT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV317MBSTT3G","http://www.onsemi.com/pub/Collateral/LM317M-D.PDF","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA, V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Linear Voltage Regulator, Positive, Adjustable Output, 500 mA","Single","Positive","Adjustable","0.5","40","2.1",,"80",,"DPAK-3
SOT-223-4 / TO-261-4
TO-220-3"
