"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Polarity","VCE(sat) Max (V)","IC Continuous (A)","V(BR)CEO Min (V)","hFE Min","hFE Max","fT Min (MHz)","PTM Max (W)","Package Type"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD350","NJVMJD350T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NJVMJD350T4G","http://www.onsemi.com/pub/Collateral/MJD340-D.PDF","0.5 A, 300 V High Voltage PNP Bipolar Power Transistor","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","0.5 A, 300 V High Voltage PNP Bipolar Power Transistor","PNP",,"0.5","300","30","240","-","15","DPAK-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD42C","MJD42C1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD42C1G","http://www.onsemi.com/pub/Collateral/MJD41C-D.PDF","6.0 A, 100 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","6.0 A, 100 V PNP Bipolar Power Transistor","PNP",,"6","100","15","75","3","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD42C","MJD42CG","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD42CG","http://www.onsemi.com/pub/Collateral/MJD41C-D.PDF","6.0 A, 100 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","6.0 A, 100 V PNP Bipolar Power Transistor","PNP",,"6","100","15","75","3","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD42C","MJD42CRLG","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD42CRLG","http://www.onsemi.com/pub/Collateral/MJD41C-D.PDF","6.0 A, 100 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","6.0 A, 100 V PNP Bipolar Power Transistor","PNP",,"6","100","15","75","3","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD42C","MJD42CT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD42CT4G","http://www.onsemi.com/pub/Collateral/MJD41C-D.PDF","6.0 A, 100 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","6.0 A, 100 V PNP Bipolar Power Transistor","PNP",,"6","100","15","75","3","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD42C","NJVMJD42CRLG","http://www.onsemi.cn/PowerSolutions/product.do?id=NJVMJD42CRLG","http://www.onsemi.com/pub/Collateral/MJD41C-D.PDF","6.0 A, 100 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","6.0 A, 100 V PNP Bipolar Power Transistor","PNP",,"6","100","15","75","3","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD42C","NJVMJD42CT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NJVMJD42CT4G","http://www.onsemi.com/pub/Collateral/MJD41C-D.PDF","6.0 A, 100 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","6.0 A, 100 V PNP Bipolar Power Transistor","PNP",,"6","100","15","75","3","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD45H11","MJD45H11-1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD45H11-1G","http://www.onsemi.com/pub/Collateral/MJD44H11-D.PDF","8 A, 80 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 80 V PNP Bipolar Power Transistor","PNP",,"8","80","60","-","-","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD45H11","MJD45H11G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD45H11G","http://www.onsemi.com/pub/Collateral/MJD44H11-D.PDF","8 A, 80 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 80 V PNP Bipolar Power Transistor","PNP",,"8","80","60","-","-","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD45H11","MJD45H11RLG","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD45H11RLG","http://www.onsemi.com/pub/Collateral/MJD44H11-D.PDF","8 A, 80 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 80 V PNP Bipolar Power Transistor","PNP",,"8","80","60","-","-","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD45H11","MJD45H11T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD45H11T4G","http://www.onsemi.com/pub/Collateral/MJD44H11-D.PDF","8 A, 80 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 80 V PNP Bipolar Power Transistor","PNP",,"8","80","60","-","-","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD45H11","NJVMJD45H11G","http://www.onsemi.cn/PowerSolutions/product.do?id=NJVMJD45H11G","http://www.onsemi.com/pub/Collateral/MJD44H11-D.PDF","8 A, 80 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 80 V PNP Bipolar Power Transistor","PNP",,"8","80","60","-","-","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD45H11","NJVMJD45H11RLG","http://www.onsemi.cn/PowerSolutions/product.do?id=NJVMJD45H11RLG","http://www.onsemi.com/pub/Collateral/MJD44H11-D.PDF","8 A, 80 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 80 V PNP Bipolar Power Transistor","PNP",,"8","80","60","-","-","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD45H11","NJVMJD45H11T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NJVMJD45H11T4G","http://www.onsemi.com/pub/Collateral/MJD44H11-D.PDF","8 A, 80 V PNP Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 80 V PNP Bipolar Power Transistor","PNP",,"8","80","60","-","-","20","DPAK-3
IPAK-4"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD50","MJD50G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD50G","http://www.onsemi.com/pub/Collateral/MJD47-D.PDF","1.0 A, 400 V High Voltage NPN Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","1.0 A, 400 V High Voltage NPN Bipolar Power Transistor","NPN",,"1","400","30","150","10","15","DPAK-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD50","MJD50T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD50T4G","http://www.onsemi.com/pub/Collateral/MJD47-D.PDF","1.0 A, 400 V High Voltage NPN Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","1.0 A, 400 V High Voltage NPN Bipolar Power Transistor","NPN",,"1","400","30","150","10","15","DPAK-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJD50","NJVMJD50T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NJVMJD50T4G","http://www.onsemi.com/pub/Collateral/MJD47-D.PDF","1.0 A, 400 V High Voltage NPN Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","1.0 A, 400 V High Voltage NPN Bipolar Power Transistor","NPN",,"1","400","30","150","10","15","DPAK-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","MJE13007","MJE13007G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJE13007G","http://www.onsemi.com/pub/Collateral/MJE13007-D.PDF","8.0 A, 400 V NPN Bipolar Power Transistor","Pb-free","Active","8.0 A, 400 V NPN Bipolar Power Transistor","NPN",,"8","400","5","30","4","80","TO-220-3"
