"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Megapixels","Frame Rate (fps)","Optical Format","Shutter Type","Pixel Size (µm)","Color","Package Type"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0833","AR0833CS3C12SUAA0-DP","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0833CS3C12SUAA0-DP","http://www.onsemi.com/pub/Collateral/AR0833-D.PDF","8 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","8 MP 1/3" CMOS Image Sensor","CMOS","8","30","1/3.2 inch","Electronic Rolling","1.4 x 1.4","RGB","CLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0833","AR0833CS3C12SUAA0-DP1","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0833CS3C12SUAA0-DP1","http://www.onsemi.com/pub/Collateral/AR0833-D.PDF","8 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","8 MP 1/3" CMOS Image Sensor","CMOS","8","30","1/3.2 inch","Electronic Rolling","1.4 x 1.4","RGB","CLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0833","AR0833CS3C29SMD20","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0833CS3C29SMD20","http://www.onsemi.com/pub/Collateral/AR0833-D.PDF","8 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","8 MP 1/3" CMOS Image Sensor","CMOS","8","30","1/3.2 inch","Electronic Rolling","1.4 x 1.4","RGB","CLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR1011","AR1011HSSC00SHAA0-DP","http://www.onsemi.cn/PowerSolutions/product.do?id=AR1011HSSC00SHAA0-DP","-","10 MP 1" CMOS Image Sensor","Pb-free
Halide free","Active","10 MP 1" CMOS Image Sensor","CMOS","10.8","60","1 inch","Electronic Rolling","3.4 x 3.4","RGB","CLCC-124"
"on","光电、图像及触摸传感器---CMOS图像传感器","ARX550AT","ARX550AT2C00XPEA0-DRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=ARX550AT2C00XPEA0-DRBR","-","VGA 1/5" CMOS Image Sensor","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","VGA 1/5" CMOS Image Sensor","CMOS","VGA","60","1/5 inch","Electronic Rolling","3.75 x 3.75","RGB","IBGA-63"
"on","光电、图像及触摸传感器---CMOS图像传感器","ARX550AT","ARX550AT2C00XPEA0-TRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=ARX550AT2C00XPEA0-TRBR","-","VGA 1/5" CMOS Image Sensor","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","VGA 1/5" CMOS Image Sensor","CMOS","VGA","60","1/5 inch","Electronic Rolling","3.75 x 3.75","RGB","IBGA-63"
"on","光电、图像及触摸传感器---CMOS图像传感器","ARX550AT","ARX550AT2R00XPEA0-DRBR-E","http://www.onsemi.cn/PowerSolutions/product.do?id=ARX550AT2R00XPEA0-DRBR-E","-","VGA 1/5" CMOS Image Sensor","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","VGA 1/5" CMOS Image Sensor","CMOS","VGA","60","1/5 inch","Electronic Rolling","3.75 x 3.75","RGB","IBGA-63"
"on","光电、图像及触摸传感器---CMOS图像传感器","ARX550AT","ARX550HDSC00XPEA0-DRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=ARX550HDSC00XPEA0-DRBR","-","VGA 1/5" CMOS Image Sensor","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","VGA 1/5" CMOS Image Sensor","CMOS","VGA","60","1/5 inch","Electronic Rolling","3.75 x 3.75","RGB","IBGA-63"
"on","光电、图像及触摸传感器---CMOS图像传感器","ARX550AT","ARX550HDSC00XPEA0-DRBR1","http://www.onsemi.cn/PowerSolutions/product.do?id=ARX550HDSC00XPEA0-DRBR1","-","VGA 1/5" CMOS Image Sensor","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","VGA 1/5" CMOS Image Sensor","CMOS","VGA","60","1/5 inch","Electronic Rolling","3.75 x 3.75","RGB","IBGA-63"
"on","光电、图像及触摸传感器---CMOS图像传感器","ARX550AT","ARX550HDSC00XPEA0-TRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=ARX550HDSC00XPEA0-TRBR","-","VGA 1/5" CMOS Image Sensor","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","VGA 1/5" CMOS Image Sensor","CMOS","VGA","60","1/5 inch","Electronic Rolling","3.75 x 3.75","RGB","IBGA-63"
"on","光电、图像及触摸传感器---CMOS图像传感器","ASX340AT","ASX340AT2C00XPED0-DPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=ASX340AT2C00XPED0-DPBR","-","VGA 1/4" CMOS Image Sensor System-on-Chip","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","VGA 1/4" CMOS Image Sensor System-on-Chip","CMOS","VGA","60","1/4 inch","Electronic Rolling","5.6 x 5.6","RGB","IBGA-63"
"on","光电、图像及触摸传感器---CMOS图像传感器","ASX340AT","ASX340AT2C00XPED0-DPBR1","http://www.onsemi.cn/PowerSolutions/product.do?id=ASX340AT2C00XPED0-DPBR1","-","VGA 1/4" CMOS Image Sensor System-on-Chip","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","VGA 1/4" CMOS Image Sensor System-on-Chip","CMOS","VGA","60","1/4 inch","Electronic Rolling","5.6 x 5.6","RGB","IBGA-63"
