"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Input Level","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---转换器","NLSV4T244E","NLSV4T244EMUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSV4T244EMUTAG","http://www.onsemi.com/pub/Collateral/NLSV4T244E-D.PDF","4-Bit Dual-Supply Non-Inverting Level Translator","Pb-free
Halide free","Active","4-Bit Dual-Supply Non-Inverting Level Translator","4","CMOS","0.9","4.5","2.5","24","SOIC-14
TSSOP-14
UQFN-12"
"on","标准逻辑---转换器","NLSV4T3234","NLSV4T3234FCT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSV4T3234FCT1G","http://www.onsemi.com/pub/Collateral/NLSV4T3234.PDF","4-Bit Dual Supply Bus Buffer Translator w/ 26 Ohm Output Series Resistor, 4-Bit Dual-Level Bus Buffer Level Translator w/ 26 ohm Output Series Resistor","Pb-free
Halide free","Active","4-Bit Dual Supply Bus Buffer Translator w/ 26 Ohm Output Series Resistor","4","CMOS","0.9","4.5","5.6","50","Flip-Chip-10"
"on","标准逻辑---转换器","NLSV8T244","NLSV8T244DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSV8T244DTR2G","http://www.onsemi.com/pub/Collateral/NLSV8T244-D.PDF","8-Bit Dual-Supply Non-Inverting Level Translator","Pb-free
Halide free","Active","8-Bit Dual-Supply Non-Inverting Level Translator","8","CMOS","0.9","4.5","3.3","50","SOIC-20W
TSSOP-20
UDFN-20"
"on","标准逻辑---转换器","NLSV8T244","NLSV8T244DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSV8T244DWR2G","http://www.onsemi.com/pub/Collateral/NLSV8T244-D.PDF","8-Bit Dual-Supply Non-Inverting Level Translator","Pb-free
Halide free","Active","8-Bit Dual-Supply Non-Inverting Level Translator","8","CMOS","0.9","4.5","3.3","50","SOIC-20W
TSSOP-20
UDFN-20"
"on","标准逻辑---转换器","NLSV8T244","NLSV8T244MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSV8T244MUTAG","http://www.onsemi.com/pub/Collateral/NLSV8T244-D.PDF","8-Bit Dual-Supply Non-Inverting Level Translator","Pb-free
Halide free","Active","8-Bit Dual-Supply Non-Inverting Level Translator","8","CMOS","0.9","4.5","3.3","50","SOIC-20W
TSSOP-20
UDFN-20"
"on","标准逻辑---转换器","NLSX3012","NLSX3012DMR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX3012DMR2G","http://www.onsemi.com/pub/Collateral/NLSX3012-D.PDF","2-Bit 100 Mbps Configurable Dual-Supply Level Translator","Pb-free
Halide free","Active","2-Bit 100 Mbps Configurable Dual-Supply Level Translator","2","CMOS","1.3","4.5","7.2","0.02","Micro8™
SOIC-8
UDFN-8"
"on","标准逻辑---转换器","NLSX3012","NLSX3012DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX3012DR2G","http://www.onsemi.com/pub/Collateral/NLSX3012-D.PDF","2-Bit 100 Mbps Configurable Dual-Supply Level Translator","Pb-free
Halide free","Active","2-Bit 100 Mbps Configurable Dual-Supply Level Translator","2","CMOS","1.3","4.5","7.2","0.02","Micro8™
SOIC-8
UDFN-8"
"on","标准逻辑---转换器","NLSX3012","NLSX3012MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX3012MUTAG","http://www.onsemi.com/pub/Collateral/NLSX3012-D.PDF","2-Bit 100 Mbps Configurable Dual-Supply Level Translator","Pb-free
Halide free","Active","2-Bit 100 Mbps Configurable Dual-Supply Level Translator","2","CMOS","1.3","4.5","7.2","0.02","Micro8™
SOIC-8
UDFN-8"
"on","标准逻辑---转换器","NLSX3014","NLSX3014MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX3014MUTAG","http://www.onsemi.com/pub/Collateral/NLSX3014-D.PDF","Level Translator, 4-Bit, Configurable Dual-Supply, 100 Mbps","Pb-free
Halide free","Active","Level Translator, 4-Bit, Configurable Dual-Supply, 100 Mbps","4","CMOS","0.9","4.5","6.5","0.02","UQFN-12"
"on","标准逻辑---转换器","NLSX3373","NLSX3373MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX3373MUTAG","http://www.onsemi.com/pub/Collateral/NLSX3373-D.PDF","Translator, Dual-Supply Level, 2-Bit, 20 Mb/s","Pb-free
Halide free","Active","Translator, Dual-Supply Level, 2-Bit, 20 Mb/s","2","CMOS","1.2","5.5","30","40","UDFN-8"
