"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Vcc","Feature","Frequency, MHz (Bus Width)","Packages","Temperature Range"
"mxic","NOR Flash-Serial NOR Flash","MX25L12850F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12850F","http://www.macronix.com/Lists/Datasheet/Attachments/2869/MX25L12850F, 3V, 128Mb, v1.0.pdf","128Mb","Production","2.7V-3.6V","Default 4 x I/O RPMC Suspend/Resume Unique ID","84(x1, x2, x4)","200mil 8-SOP 300mil 8-PDIP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L12855F","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L12855F","-","128Mb","Production","2.7V-3.6V","H/W Reset Permanent Lock QPI Suspend/Resume Unique ID","133(x1, x2, x4)","300mil 16-SOP 6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Serial NOR Flash","MX25L12865F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12865F","http://www.macronix.com/Lists/Datasheet/Attachments/2878/MX25L12865F, 3V, 128Mb, v1.0.pdf","128Mb","Production","2.7V-3.6V","H/W Hold H/W Reset QPI Suspend/Resume Unique ID","133(x1, x2, x4)","300mil 16-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L12873F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12873F","http://www.macronix.com/Lists/Datasheet/Attachments/2826/MX25L12873F, 3V, 128Mb, v1.1.pdf","128Mb","Production","2.7V-3.6V","Default 4 x I/O QPI Suspend/Resume Unique ID","133(x1, x2, x4)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L12836E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12836E","http://www.macronix.com/Lists/Datasheet/Attachments/2814/MX25L12836E, 3V, 128Mb, v1.7.pdf","128Mb","Production, not for new design","2.7V-3.6V","-","104(x1) 70(x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L12845E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12845E","http://www.macronix.com/Lists/Datasheet/Attachments/2823/MX25L12845E, 3V, 128Mb, v1.9.pdf","128Mb","Production, not for new design","2.7V-3.6V","DTR","104(x1) 70(x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L12855E","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L12855E","-","128Mb","Production, not for new design","2.7V-3.6V","DTR Permanent Lock","104(x1) 70(x2, x4)","300mil 16-SOP 6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Serial NOR Flash","MX25L12865E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12865E","http://www.macronix.com/Lists/Datasheet/Attachments/2801/MX25L12865E, 3V, 128Mb, v1.4.pdf","128Mb","Production, not for new design","2.7V-3.6V","DTR H/W Hold","104(x1) 70(x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L12875F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12875F","http://www.macronix.com/Lists/Datasheet/Attachments/2825/MX25L12875F, 3V, 128Mb, v1.1.pdf","128Mb","Production, not for new design","2.7V-3.6V","Default 4 x I/O H/W Reset QPI Suspend/Resume","133(x1, x2, x4)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L6433F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6433F","http://www.macronix.com/Lists/Datasheet/Attachments/2875/MX25L6433F, 3V, 64Mb, v1.3.pdf","64Mb","Production, for new design","2.65V-3.6V","H/W Hold Suspend/Resume Unique ID","133(x1, x2, x4)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON 6x8mm 24-TFBGA(4x6)","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25R6435F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R6435F","http://www.macronix.com/Lists/Datasheet/Attachments/2903/MX25R6435F, Wide Range, 64Mb, v1.1.pdf","64Mb","Production, for new design","1.65V-3.6V","H/W Hold H/W Reset Suspend/Resume Ultra Low Power Unique ID","80(x1, x2, x4)","200mil 8-SOP 4x4mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U6435F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U6435F","http://www.macronix.com/Lists/Datasheet/Attachments/2852/MX25U6435F, 1.8V, 64Mb, v1.4.pdf","64Mb","Production, for new design","1.65V-2V","H/W Reset QPI Suspend/Resume Unique ID","104(x1, x4) 84(x2)","200mil 8-SOP 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L6408E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6408E","http://www.macronix.com/Lists/Datasheet/Attachments/2841/MX25L6408E, 3V, 64Mb, v1.4.pdf","64Mb","Production","2.7V-3.6V","H/W Hold Unique ID","86(x1) 80(x2)","200mil 8-SOP 300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
