"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Feature","Vcc","Sector Type","Bus Width","Access Time (ns)","Packages","Temperature Range"
"mxic","NOR Flash---Parallel NOR Flash","MX29LV640B T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV640B T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2380/MX29LV640B T-B, 3V, 64Mb, v1.8.pdf","64Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8, x16","90","48-TSOP 63-CSP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV640B U","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV640B U","http://www.macronix.com/Lists/Datasheet/Attachments/2379/MX29LV640B U, 3V, 64Mb, v1.5.pdf","64Mb","End of Life","-","2.7V-3.6V","Uniform Sector","x16","90","48-TSOP 63-CSP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV640D T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV640D T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2378/MX29LV640D T-B, 3V, 64Mb, v2.0.pdf","64Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8, x16","90","44-SOP 48-TSOP 48-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29GL320E H/L","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL320E H/L","http://www.macronix.com/Lists/Datasheet/Attachments/2412/MX29GL320E H-L, 3V, 32Mb, v1.4.pdf","32Mb","Production, for new design","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","70","56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV320E T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV320E T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2420/MX29LV320E T-B, 3V, 32Mb, v1.3.pdf","32Mb","Production, for new design","-","2.7V-3.6V","Boot Sector","x8, x16","70","44-SOP 48-TSOP 48-LFBGA 48-TFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29GA320E H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA320E H/L","-","32Mb","Production","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","70","64-LFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GA321E H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA321E H/L","-","32Mb","Production","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","70","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GL320E T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL320E T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2413/MX29GL320E T-B, 3V, 32Mb, v1.4.pdf","32Mb","Production","Page Read","2.7V-3.6V","Boot Sector","x8, x16","70","48-TSOP 48-FBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29NS320E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29NS320E","http://www.macronix.com/Lists/Datasheet/Attachments/2421/MX29NS320E, 1.8V, 32Mb, v1.1.pdf","32Mb","Production","AD Mux","1.7V-1.95V","Boot Sector","x16","80","56-FBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LA320D H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29LA320D H/L","-","32Mb","End of Life","-","2.7V-3.6V","Uniform Sector","x8, x16","70","64-FBGA","-40℃ to +85℃","-"
