"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN  MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","VOUT  MIN.  (V)","VOUT  MAX.  (V)","Freq  (kHz)","Efficiency (%)"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76108","XR76108ELTR-F","http://www.exar.com/common/content/document.ashx?id=21516&languageid=1033&type=datasheet&part=xr76108","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76108/","8A Synchronous Step Down COT Regulator PowerBlox™","8000","3.0","22","700","0.6","18","200-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76108","XR76108EVB","http://www.exar.com/common/content/document.ashx?id=21516&languageid=1033&type=datasheet&part=xr76108","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76108/","8A Synchronous Step Down COT Regulator PowerBlox™","8000","3.0","22","700","0.6","18","200-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7662","SP7662EB","http://www.exar.com/common/content/document.ashx?id=1206&languageid=1033&type=datasheet&part=sp7662","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7662/","12A 300KHz Buck Regulator","12000","3","22","1500","0.8","20.2","300","93"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7662","SP7662ER/TR","http://www.exar.com/common/content/document.ashx?id=1206&languageid=1033&type=datasheet&part=sp7662","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7662/","12A 300KHz Buck Regulator","12000","3","22","1500","0.8","20.2","300","93"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7662","SP7662ER-L","http://www.exar.com/common/content/document.ashx?id=1206&languageid=1033&type=datasheet&part=sp7662","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7662/","12A 300KHz Buck Regulator","12000","3","22","1500","0.8","20.2","300","93"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7662","SP7662ER-L/TR","http://www.exar.com/common/content/document.ashx?id=1206&languageid=1033&type=datasheet&part=sp7662","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7662/","12A 300KHz Buck Regulator","12000","3","22","1500","0.8","20.2","300","93"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7663","SP7663EB","http://www.exar.com/common/content/document.ashx?id=1207&languageid=1033&type=datasheet&part=sp7663","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7663/","6A 600KHz Buck Regulator","6000","3","22","1500","-","-","600","91"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7663","SP7663ER/TR","http://www.exar.com/common/content/document.ashx?id=1207&languageid=1033&type=datasheet&part=sp7663","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7663/","6A 600KHz Buck Regulator","6000","3","22","1500","-","-","600","91"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7663","SP7663ER-L","http://www.exar.com/common/content/document.ashx?id=1207&languageid=1033&type=datasheet&part=sp7663","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7663/","6A 600KHz Buck Regulator","6000","3","22","1500","-","-","600","91"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7663","SP7663ER-L/TR","http://www.exar.com/common/content/document.ashx?id=1207&languageid=1033&type=datasheet&part=sp7663","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7663/","6A 600KHz Buck Regulator","6000","3","22","1500","-","-","600","91"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7652","SP7652BER-L","http://www.exar.com/common/content/document.ashx?id=761&languageid=1033&type=datasheet&part=sp7652","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7652/","6A 600kHz Buck Regulator","6000","2.5","28","1500","0.8","27","600","92"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7652","SP7652EB","http://www.exar.com/common/content/document.ashx?id=761&languageid=1033&type=datasheet&part=sp7652","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7652/","6A 600kHz Buck Regulator","6000","2.5","28","1500","0.8","27","600","92"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7652","SP7652ER","http://www.exar.com/common/content/document.ashx?id=761&languageid=1033&type=datasheet&part=sp7652","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7652/","6A 600kHz Buck Regulator","6000","2.5","28","1500","0.8","27","600","92"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7652","SP7652ER/TR","http://www.exar.com/common/content/document.ashx?id=761&languageid=1033&type=datasheet&part=sp7652","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7652/","6A 600kHz Buck Regulator","6000","2.5","28","1500","0.8","27","600","92"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7652","SP7652ER-L","http://www.exar.com/common/content/document.ashx?id=761&languageid=1033&type=datasheet&part=sp7652","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7652/","6A 600kHz Buck Regulator","6000","2.5","28","1500","0.8","27","600","92"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7652","SP7652ER-L/TR","http://www.exar.com/common/content/document.ashx?id=761&languageid=1033&type=datasheet&part=sp7652","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7652/","6A 600kHz Buck Regulator","6000","2.5","28","1500","0.8","27","600","92"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XRP7662","XRP7662EVB","http://www.exar.com/common/content/document.ashx?id=21224&languageid=1033&type=datasheet&part=xrp7662","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xrp7662/","12A 300kHz Step Down Regulator ","12000","3","22","1500","0.8","20.2","300","93"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XRP7662","XRP7662IH-F","http://www.exar.com/common/content/document.ashx?id=21224&languageid=1033&type=datasheet&part=xrp7662","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xrp7662/","12A 300kHz Step Down Regulator ","12000","3","22","1500","0.8","20.2","300","93"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XRP7662","XRP7662IHTR-F","http://www.exar.com/common/content/document.ashx?id=21224&languageid=1033&type=datasheet&part=xrp7662","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xrp7662/","12A 300kHz Step Down Regulator ","12000","3","22","1500","0.8","20.2","300","93"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XRP7674","XRP7674EVB","http://www.exar.com/common/content/document.ashx?id=21203&languageid=1033&type=datasheet&part=xrp7674","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xrp7674/","2A 18V PFM/PWM Step-Down Regulator","2000","4.50","18","1200","0.925","16","340","95"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XRP7674","XRP7674IDTR-F","http://www.exar.com/common/content/document.ashx?id=21203&languageid=1033&type=datasheet&part=xrp7674","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xrp7674/","2A 18V PFM/PWM Step-Down Regulator","2000","4.50","18","1200","0.925","16","340","95"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XRP7665","XRP7665EVB","http://www.exar.com/common/content/document.ashx?id=20619&languageid=1033&type=datasheet&part=xrp7665","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xrp7665/","3A 18V Synchronous Step-Down Converter","3000","4.5","18","1000","0.925","16","340","93"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XRP7665","XRP7665IDBTR-F","http://www.exar.com/common/content/document.ashx?id=20619&languageid=1033&type=datasheet&part=xrp7665","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xrp7665/","3A 18V Synchronous Step-Down Converter","3000","4.5","18","1000","0.925","16","340","93"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","SP7651","SP7651BER-L","http://www.exar.com/common/content/document.ashx?id=760&languageid=1033&type=datasheet&part=sp7651","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/sp7651/","3A 900kHz Buck Regulator","3000","2.5","20","1500","0.8","19","900","92"
