"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN  MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","VOUT  MIN.  (V)","VOUT  MAX.  (V)","Freq  (kHz)","Efficiency (%)"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","XRP6670","XRP6670EHTR-F","http://www.exar.com/common/content/document.ashx?id=21255&languageid=1033&type=datasheet&part=xrp6670","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/xrp6670/","3A Synchronous Step Down Regulator","3000","2.60","5.5","460","0.8","5","Prog.","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","XRP6670","XRP6670EVB","http://www.exar.com/common/content/document.ashx?id=21255&languageid=1033&type=datasheet&part=xrp6670","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/xrp6670/","3A Synchronous Step Down Regulator","3000","2.60","5.5","460","0.8","5","Prog.","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","XRP6657","XRP6657EVB","http://www.exar.com/common/content/document.ashx?id=1356&languageid=1033&type=datasheet&part=xrp6657","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/xrp6657/","1.5A Synchronous Step Down Converter","1500","2.5","5.5","240","-","-","1300","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","XRP6657","XRP6657IHBTR-F","http://www.exar.com/common/content/document.ashx?id=1356&languageid=1033&type=datasheet&part=xrp6657","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/xrp6657/","1.5A Synchronous Step Down Converter","1500","2.5","5.5","240","-","-","1300","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669AEK-L","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669AEK-L/TR","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669AEK-L/TRR3","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669BEK-L","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669BEK-L/TR ","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669BEK-L/TRR3","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669CEK-L","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669CEK-L/TR ","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669CEK-L/TRR3","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669DEK-L","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669DEK-L/TR","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669DEK-L/TRR3","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669DK-L/TR ","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6669","SP6669EB","http://www.exar.com/common/content/document.ashx?id=1217&languageid=1033&type=datasheet&part=sp6669","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6669/","600mA Synchronous Step Down Converter","600","2.5","5.5","200","0.6","5","1500","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6652","SP6652EB","http://www.exar.com/common/content/document.ashx?id=674&languageid=1033&type=datasheet&part=sp6652","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6652/","Synchronous Step-Down Converter","1000","2.7","5.5","1000","0.9","5","1400","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6652","SP6652ER","http://www.exar.com/common/content/document.ashx?id=674&languageid=1033&type=datasheet&part=sp6652","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6652/","Synchronous Step-Down Converter","1000","2.7","5.5","1000","0.9","5","1400","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6652","SP6652ER/TR","http://www.exar.com/common/content/document.ashx?id=674&languageid=1033&type=datasheet&part=sp6652","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6652/","Synchronous Step-Down Converter","1000","2.7","5.5","1000","0.9","5","1400","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6652","SP6652ER-L","http://www.exar.com/common/content/document.ashx?id=674&languageid=1033&type=datasheet&part=sp6652","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6652/","Synchronous Step-Down Converter","1000","2.7","5.5","1000","0.9","5","1400","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6652","SP6652ER-L/TR","http://www.exar.com/common/content/document.ashx?id=674&languageid=1033&type=datasheet&part=sp6652","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6652/","Synchronous Step-Down Converter","1000","2.7","5.5","1000","0.9","5","1400","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6652","SP6652EU","http://www.exar.com/common/content/document.ashx?id=674&languageid=1033&type=datasheet&part=sp6652","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6652/","Synchronous Step-Down Converter","1000","2.7","5.5","1000","0.9","5","1400","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6652","SP6652EU/TR","http://www.exar.com/common/content/document.ashx?id=674&languageid=1033&type=datasheet&part=sp6652","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6652/","Synchronous Step-Down Converter","1000","2.7","5.5","1000","0.9","5","1400","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6652","SP6652EU-ES","http://www.exar.com/common/content/document.ashx?id=674&languageid=1033&type=datasheet&part=sp6652","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6652/","Synchronous Step-Down Converter","1000","2.7","5.5","1000","0.9","5","1400","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6652","SP6652EU-L","http://www.exar.com/common/content/document.ashx?id=674&languageid=1033&type=datasheet&part=sp6652","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6652/","Synchronous Step-Down Converter","1000","2.7","5.5","1000","0.9","5","1400","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6652","SP6652EU-L/TR","http://www.exar.com/common/content/document.ashx?id=674&languageid=1033&type=datasheet&part=sp6652","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6652/","Synchronous Step-Down Converter","1000","2.7","5.5","1000","0.9","5","1400","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6652","SP6652LEDEB","http://www.exar.com/common/content/document.ashx?id=674&languageid=1033&type=datasheet&part=sp6652","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6652/","Synchronous Step-Down Converter","1000","2.7","5.5","1000","0.9","5","1400","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6650","SP6650EU","http://www.exar.com/common/content/document.ashx?id=707&languageid=1033&type=datasheet&part=sp6650","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6650/","600mA Synchronous Buck Regulator ","600","2.7","6.5","70","1.3","6","PFM","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6650","SP6650EU/TR","http://www.exar.com/common/content/document.ashx?id=707&languageid=1033&type=datasheet&part=sp6650","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6650/","600mA Synchronous Buck Regulator ","600","2.7","6.5","70","1.3","6","PFM","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6650","SP6650EU-L","http://www.exar.com/common/content/document.ashx?id=707&languageid=1033&type=datasheet&part=sp6650","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6650/","600mA Synchronous Buck Regulator ","600","2.7","6.5","70","1.3","6","PFM","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6650","SP6650EU-L/TR","http://www.exar.com/common/content/document.ashx?id=707&languageid=1033&type=datasheet&part=sp6650","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6650/","600mA Synchronous Buck Regulator ","600","2.7","6.5","70","1.3","6","PFM","95"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6650","SP6650UEB","http://www.exar.com/common/content/document.ashx?id=707&languageid=1033&type=datasheet&part=sp6650","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6650/","600mA Synchronous Buck Regulator ","600","2.7","6.5","70","1.3","6","PFM","95"
