brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","IOUT(max)(A)","CurrentLimit(A)","Iq(Typ)(uA)","Channel_Number","Enable","Fault_Flag","Rds(on)(mΩ)","Output_Discharge","Grade","Package"
"mps","E-Fuse & Load Switches---USB Switches","MP62130","http://www.monolithicpower.com/Products/Product-Detail?ProductID=635","http://new.zlgmcu.com/mps_datasheet/MP62130.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1459","MP62130","Active","","3.3V/5V, Single-Channel 500mA Current-Limited Power Distribution Switch with Output Discharge","2.7","5.5","0.5","0.65","95.0","1.0","Active Low","Over Current,Active Low","90","True","Catalog","MSOP8,SOIC8"
"mps","E-Fuse & Load Switches---USB Switches","MP62055-3","http://www.monolithicpower.com/Products/Product-Detail?ProductID=628","http://new.zlgmcu.com/mps_datasheet/MP62055-3.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1442","MP62055-3","Active","","3.3V/5V, Single-Channel 500mA Current-Limited Power Distribution Switch","2.7","5.5","0.5","0.808","90.0","1.0","Active High","Over Current,Active Low","115/90","","Catalog","TSOT23-5,SOIC8"
"mps","E-Fuse & Load Switches---USB Switches","MP62260","http://www.monolithicpower.com/Products/Product-Detail?ProductID=648","http://new.zlgmcu.com/mps_datasheet/MP62260.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1489","MP62260","Active","","3.3V/5V, Single-Channel 2A Current-Limited Power Distribution Switch","2.7","5.5","2.0","3","90.0","1.0","Active Low","Over Current,Active Low","50","","Catalog","SOIC8"
"mps","E-Fuse & Load Switches---USB Switches","MP62171-3","http://www.monolithicpower.com/Products/Product-Detail?ProductID=644","http://new.zlgmcu.com/mps_datasheet/MP62171-3.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1479","MP62171-3","Active","","3.3V/5V, Single-Channel 1.5A Current-Limited Power Distribution Switch","2.7","5.5","1.5","2.5","90.0","1.0","Active High","Over Current,Active Low","75","","Catalog","SOIC8,MSOP8"
"mps","E-Fuse & Load Switches---USB Switches","MP62041-1","http://www.monolithicpower.com/Products/Product-Detail?ProductID=625","http://new.zlgmcu.com/mps_datasheet/MP62041-1.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1433","MP62041-1","Active","","1.7V- 5.5V, Ultra- Small, Single-Channel 2A Current-Limited Power Distribution Switch with Output Discharge","1.7","5.5","2.0","","2.0","1.0","Active High","-","85","True","Catalog","UTQFN4"
"mps","E-Fuse & Load Switches---USB Switches","MP62171-1","http://www.monolithicpower.com/Products/Product-Detail?ProductID=643","http://new.zlgmcu.com/mps_datasheet/MP62171-1.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1477","MP62171-1","Active","","3.3V/5V, Single-Channel 1.5A Current-Limited Power Distribution Switch with Output Discharge","2.7","5.5","1.5","2.3","90.0","1.0","Active High","Over Current,Active Low","75","True","Catalog","SOIC8,MSOP8"
"mps","E-Fuse & Load Switches---USB Switches","MP62171","http://www.monolithicpower.com/Products/Product-Detail?ProductID=642","http://new.zlgmcu.com/mps_datasheet/MP62171.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1475","MP62171","Active","","3.3V/5V, Single-Channel 1.5A Current-Limited Power Distribution Switch","2.7","5.5","1.5","2.3","90.0","1.0","Active High","Over Current,Active Low","75","","Catalog","SOIC8,MSOP8"
"mps","E-Fuse & Load Switches---USB Switches","MP62170","http://www.monolithicpower.com/Products/Product-Detail?ProductID=640","http://new.zlgmcu.com/mps_datasheet/MP62170.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1470","MP62170","Active","","3.3V/5V, Single-Channel 1.5A Current-Limited Power Distribution Switch","2.7","5.5","1.5","2.3","90.0","1.0","Active Low","Over Current,Active Low","75","","Catalog","SOIC8,MSOP8"
"mps","E-Fuse & Load Switches---USB Switches","MP62180","http://www.monolithicpower.com/Products/Product-Detail?ProductID=645","http://new.zlgmcu.com/mps_datasheet/MP62180.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1481","MP62180","Active","","3.3V/5V, Single-Channel 2A Current-Limited Power Distribution Switch","2.7","5.5","2.0","2.8","90.0","1.0","Active Low","Over Current,Active Low","75","","Catalog","QFN8E,MSOP8E,SOIC8"
"mps","E-Fuse & Load Switches---USB Switches","MP62551","http://www.monolithicpower.com/Products/Product-Detail?ProductID=653","http://new.zlgmcu.com/mps_datasheet/MP62551.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1501","MP62551","Active","","Precision Adjustable Current-Limited Power Distribution Switch","2.5","5.5","1.5","Prog.","125.0","1.0","Active High","Over Current,Active Low,Over Temperature","88","","Catalog","TQFN2x2-6,TSOT23-6"
