brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","VOUT (Max) (V)","Channels (#)","Isw Limit (A)","Channel Current (Max) (A)","LEDx ABS Voltage (V)","Switching Freq(Min) (kHz)","Switching Freq(Max) (kHz)","Topologies","Power MOSFET","Dimming (Output)","Other Features","Grade","Packages","Typical LCD Screen Sizes","Quisent Current (mA)","Shutdown Current (uA)","VFB(V)","Rds(on)(mΩ)"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3305","http://www.monolithicpower.com/Products/Product-Detail?ProductID=530","http://new.zlgmcu.com/mps_datasheet/MP3305.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1227","MP3305","Active","","2.5V-6Vin, 36Vout Adjustable OVP Boost WLED Driver","2.5","6.0","36.0","1.0","1.33","","","2200.0","2200.0","Boost","Integrated","P-Dim","","Catalog","QFN2x3-8","Small (<10")","0.69","1.0","0.2","400.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3304C","http://www.monolithicpower.com/Products/Product-Detail?ProductID=529","http://new.zlgmcu.com/mps_datasheet/MP3304C.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1741","MP3304C","Active","","2.5V-6Vin, 20V OVP, 1.3A Boost WLED Driver","2.5","6.0","18.0","1.0","1.33","","","2200.0","2200.0","Boost","Integrated","P-Dim","","Catalog","QFN2x3-8","Small (<10")","0.69","1.0","0.2","400.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3022","http://www.monolithicpower.com/Products/Product-Detail?ProductID=521","http://new.zlgmcu.com/mps_datasheet/MP3022.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1766","MP3022","Active","","2.7V-5.5Vin Charge Pump LED Driver (Prelonged Timer of MP3021)","2.7","5.5","10.0","4.0","","0.03","","1250.0","1250.0","Charge Pump","","A-Dim","1-Wire","Catalog","QFN3x3-16","Small (<10")","","0.1","",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP1488","http://www.monolithicpower.com/Products/Product-Detail?ProductID=509","http://new.zlgmcu.com/mps_datasheet/MP1488.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1768","MP1488","Active","","2.5V-6Vin Boost WLED Driver","2.5","6.0","25.0","1.0","0.8","","","1300.0","1300.0","Boost","Integrated","P-Dim","","Catalog","TSOT23","Small (<10")","0.69","0.1","0.104","500.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP2481","http://www.monolithicpower.com/Products/Product-Detail?ProductID=516","http://new.zlgmcu.com/mps_datasheet/MP2481.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1203","MP2481","Active","","36V, 1.2A Buck-Boost WLED Driver","4.5","36.0","36.0","1.0","2.0","","","1400.0","1400.0","Buck/Boost","Integrated","1,2","","Catalog","MSOP8E","Medium (10"-29")","0.6","","0.203","300.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3021","http://www.monolithicpower.com/Products/Product-Detail?ProductID=520","http://new.zlgmcu.com/mps_datasheet/MP3021.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1212","MP3021","Active","","2.7V-5.5Vin, 4-Channel, 1-Wire Interface Charge Pump LED Driver","2.7","5.5","10.0","4.0","","0.03","","1250.0","1250.0","Charge Pump","","A-Dim","1-Wire","Catalog","QFN3x3-16","Small (<10")","","0.1","",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3205","http://www.monolithicpower.com/Products/Product-Detail?ProductID=524","http://new.zlgmcu.com/mps_datasheet/MP3205.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1221","MP3205","Active","","2.5V-6Vin, 21 Vout Boost WLED Driver","2.5","6.0","21.0","1.0","0.35","","","1300.0","1300.0","Boost","Integrated","P-Dim","","Catalog","TSOT23-5","Small (<10")","0.69","0.1","0.104","500.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP1519","http://www.monolithicpower.com/Products/Product-Detail?ProductID=511","http://new.zlgmcu.com/mps_datasheet/MP1519.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1189","MP1519","Active","","Charge Pump 4-Channel WLED Driver","2.5","5.5","10.0","4.0","","","","1300.0","1300.0","Charge Pump","","1,2","","Catalog","QFN3x3-16","Small (<10")","","0.1","",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP1518","http://www.monolithicpower.com/Products/Product-Detail?ProductID=510","http://new.zlgmcu.com/mps_datasheet/MP1518.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1186","MP1518","Active","","2.5V-6Vin, 0.35A Boost WLED Driver","2.5","6.0","25.0","1.0","0.35","","","1300.0","1300.0","Boost","Integrated","P-Dim","","Catalog","QFN2x2-8,TSOT23-6","Small (<10")","0.69","0.1","0.104","500.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP1528","http://www.monolithicpower.com/Products/Product-Detail?ProductID=513","http://new.zlgmcu.com/mps_datasheet/MP1528.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1194","MP1528","Active","","2.7V-36Vin, 36Vout Boost WLED Driver","2.7","36.0","36.0","1.0","0.95","","","-999999.0","-999999.0","Boost","Integrated","1,2","","Catalog","QFN2x2-8,MSOP8,QFN3x3-6","Small (<10")","0.65","1.0","0.4","630.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP1529","http://www.monolithicpower.com/Products/Product-Detail?ProductID=514","http://new.zlgmcu.com/mps_datasheet/MP1529.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1197","MP1529","Active","","2.7V-5.5Vin, 25Vout, 3-Channel Boost WLED Driver Plus Flash Light","2.7","5.5","25.0","3.0","1.2","","","1200.0","1200.0","Boost","Integrated","P-Dim","","Catalog","QFN4x4-16","Small (<10")","1.5","0.5","0.44","250.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP1519L","http://www.monolithicpower.com/Products/Product-Detail?ProductID=512","http://new.zlgmcu.com/mps_datasheet/MP1519L.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1192","MP1519L","Active","","Charge Pump 3-Channel WLED Driver","2.5","5.5","10.0","3.0","","","","1300.0","1300.0","Charge Pump","","1,2","","Catalog","QFN3x3-16,TQFN3x3-16","Small (<10")","","0.1","",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3204","http://www.monolithicpower.com/Products/Product-Detail?ProductID=523","http://new.zlgmcu.com/mps_datasheet/MP3204.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1218","MP3204","Active","","2.5V-6Vin, 21Vout, 1.3MHz Boost WLED Driver","2.5","6.0","21.0","1.0","0.35","","","1300.0","1300.0","Boost","Integrated","P-Dim","","Catalog","TSOT23-6","Small (<10")","0.69","0.1","0.104","500.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3309A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=868","http://new.zlgmcu.com/mps_datasheet/MP3309A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3912","MP3309A","Active","","2.7-5.5Vin, 1.8A Synchronous Boost WLED Driver for Over 10" LCD Panel Backlight ","2.7","5.5","35.0","1.0","1.8","","","300.0","1200.0","Boost","Integrated","1,2","Sync Rectification, CABC","Catalog","QFN3x3-10","Medium (10"-29")","0.42","1.0","0.2","300.0"
