"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","Speed(ns)","Pkg(Pins)","Status","Models","Comment/ Previous rev."
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS65WV12816ALL/BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/65WV12816ALL.pdf"," ","128Kx16","1.65-3.6V","55,70","TSOP2(44),BGA(48)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64WV12816EDBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV12816EDBLL.pdf"," ","128Kx16","2.4-3.6V","10","TSOP2(44),BGA(48)","Prod","-","ECC Based SRAM"
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64WV5128EDBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV5128EDBLL.pdf","4M","512Kx8","2.4-3.6V","10","TSOP2(44),BGA(36)","Prod","-","ECC Based SRAM"
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS65WV5128EBLL/ECLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV5128EALL-BLL.pdf"," ","512Kx8","2.2-3.6V","45,55","sTSOP1(32),TSOP12(32),BGA(36),SOP(32)","S=NOW","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64WV25616BLL/BLS","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV25616.pdf"," ","256Kx16","2.4-3.6V","10","TSOP2(44),BGA(48)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64WV25616EDBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV25616EDBLL.pdf"," ","256Kx16","2.4-3.6V","10","TSOP2(44),BGA(48)","Prod","-","ECC Based SRAM"
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS65WV25616ALL/BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/65WV25616ALL_BLL.pdf"," ","256Kx16","1.65-3.3V","55,70","TSOP2(44),BGA(48)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS65WV25616DALL/DBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV25616DALL-DBLL.pdf"," ","256Kx16","1.65-3.3V","45,55","TSOP2(44)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS65WV25616EBLL/ECLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV25616EALL-BLL-CLL.pdf"," ","256Kx16","2.2-3.6V","45,55","TSOP2(44),BGA(48)","S=NOW","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64WV51216EDBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV51216EDBLL.pdf","8M","512Kx16","2.4-3.6V","10","TSOP2(44),BGA(48)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64WV102416BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61WV102416ALL.pdf","16M","1Mx16","2.4-3.6V","10","TSOP1(48),BGA(48)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64WV20488BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV20488.pdf"," ","2Mx8","2.4-3.6V","10","TSOP2(44),BGA(48)","Prod","-"," "
