"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","VccQ","Speed(Mhz)","tKQ(ns)","Pkg(Pins)","Status","Models","Comment"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP25636B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP25636B_51218B.pdf","9M","256Kx36","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P, "
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP51218B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP25636B_51218B.pdf"," ","512Kx18","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P, "
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVP25636B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP25636B_51218B.pdf"," ","256Kx36","2.5V","2.5V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P, "
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVP51218B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP25636B_51218B.pdf"," ","512Kx18","2.5V","2.5V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P, "
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF25636B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF25636B_51218B.pdf"," ","256Kx36","3.3V","2.5/3.3V","133,117","6.5,7.5","BGA(119),QFP(100),BGA(165)","Prod","-","F, "
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF51218B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF25636B_51218B.pdf"," ","512Kx18","3.3V","2.5/3.3V","133,117","6.5,7.5","BGA(119),QFP(100),BGA(165)","Prod","-","F, "
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF25636B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF25636B_51218B.pdf"," ","256Kx36","2.5V","2.5V","133,117","6.5,7.5","BGA(119),QFP(100),BGA(165)","Prod","-","F, "
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF51218B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF25636B_51218B.pdf"," ","512Kx18","2.5V","2.5V","133,117","6.5,7.5","BGA(119),QFP(100),BGA(165)","Prod","-","F, "
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP25672","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP25672_51236_102418.pdf","18M","256Kx72","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100),BGA(119,165,209)","Prod",",","P,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP51236B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP102418B_51236B.pdf"," ","512Kx36","3.3V","2.5/3.3V","250,200","2.6,3.0","QFP(100),BGA(119,165)","Prod",",","
    "
