"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","VccQ","Speed(Mhz)","tKQ(ns)","Pkg(Pins)","Status","Models","Comment"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64NLF25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLF_NVF12832EC-12836EC-25618EC.pdf"," ","256Kx18","3.3V","2.5/3.3V","117,133","6.5,7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64NVF12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLF_NVF12832EC-12836EC-25618EC.pdf"," ","128Kx32","2.5V","2.5V","117,133","6.5,7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64NVF12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLF_NVF12832EC-12836EC-25618EC.pdf"," ","128Kx36","2.5V","2.5V","117,133","6.5,7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64NVF25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLF_NVF12832EC-12836EC-25618EC.pdf"," ","256Kx18","2.5V","2.5V","117,133","6.5,7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64NLP12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLP_NVP12832EC-12836EC-25618EC.pdf"," ","128Kx32","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165)","Prod","-","P,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64NLP12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLP_NVP12832EC-12836EC-25618EC.pdf"," ","128Kx36","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165)","Prod","-","P,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64NLP25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLP_NVP12832EC-12836EC-25618EC.pdf"," ","256Kx18","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165)","Prod","-","P,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64NVP12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLP_NVP12832EC-12836EC-25618EC.pdf"," ","128Kx32","2.5V","2.5V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165)","Prod","-","P,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64NVP12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLP_NVP12832EC-12836EC-25618EC.pdf"," ","128Kx36","2.5V","2.5V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165)","Prod","-","P,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64NVP25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLP_NVP12832EC-12836EC-25618EC.pdf"," ","256Kx18","2.5V","2.5V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165)","Prod","-","P,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LPS25636B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS25636B_51218B.pdf","9M","256Kx36","3.3V","2.5/3.3V","166","3.8","QFP(100)","Prod","-","P, "
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LF25636B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61VF_LF25636B_51218B.pdf"," ","256Kx36","3.3V","2.5/3.3V","117","7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F, "
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LF51218B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61VF_LF25636B_51218B.pdf"," ","512Kx18","3.3V","2.5/3.3V","117","7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F, "
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VF25636B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61VF_LF25636B_51218B.pdf"," ","256Kx36","2.5V","2.5V","117","7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VF51218B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61VF_LF25636B_51218B.pdf"," ","512Kx18","2.5V","2.5V","117","7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LPS204836B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS204836B_409618B.pdf","72M","2Mx36","3.3V","2.5/3.3V","166","3.5","QFP(100),BGA(119),BGA(165)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LPS409618B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS204836B_409618B.pdf"," ","4Mx18","3.3V","2.5/3.3V","166","3.5","QFP(100),BGA(119),BGA(165)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VPS204836B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS204836B_409618B.pdf"," ","2Mx36","2.5V","2.5V","166","3.5","QFP(100),BGA(119),BGA(165)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VPS409618B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS204836B_409618B.pdf"," ","4Mx18","2.5V","2.5V","166","3.5","QFP(100),BGA(119),BGA(165)","Prod","-","P"
